//////////////////////////////////////////////////////////////////////////////////////																	
// EventItemBag 46																	
//	[ Start  ] 	2007.08.23															
//	[ Latest ]	2008.08.22															
//	[ Author ]	김서영															
//	[ Version ]	0.0.3.1															
//	[ Text ]	추석이벤트(2008) 몬스터 드롭 아이템 확률 변경 (일본)															
//	[ Desc ]	아이템 드롭 리스트 및 드롭 확률 변화															
//////////////////////////////////////////////////////////////////////////////////////																	
//드롭가능맵 설정																	
0																	
//	MapIndex	Drop Flag	Min Monster Level	Max MonsterLevel													
	0	0	0	1000	//로랜시아												
	1	0	0	1000	//던전												
	2	0	0	1000	//데비아스												
	3	0	0	1000	//노리아												
	4	0	0	1000	//로스트타워												
	5	0	0	1000	//빈공간												
	6	0	0	1000	//경기장(배틀사커)												
	7	0	0	1000	//아틀란스												
	8	0	0	1000	//타르칸												
	9	0	0	1000	//악마의광장												
	10	0	0	1000	//이카루스												
end																	
																	
//드롭젠 및 아이템드롭 확률																	
//이벤트아이템 드롭 확률은 EventItemDropRate/1000																	
//아이템드롭 확률은 ItemDropRate/100. ExItemDropRate/1000																	
1																	
//	EventName	DropZen	EventItemType	EventItemIndex	EventItemLevel	EventItemDropRate	ItemDropRate	ExItemDropRate									
	"Moon Harvest1"	30000	0	0	0	0	100	1									
end																	
																	
//skill. luck. addtoption 의 값이 1이면 랜덤으로 적용. 0이면 적용안함 																	
2																	
//	type	index	minLevel	maxLevel	skill	luck	addoption	exitemflag									
//2007년 9월 11일 ~ 10월 2일																	
//획득확률 : 2300/10000																	
2300																	
	5	2	0	0	1	0	0	1	//독사지팡이								
	5	3	0	0	1	0	0	1	//번개지팡이								
	1	3	0	0	1	0	0	1	//토마호크								
	0	5	0	0	1	0	0	1	//블레이드								
	4	4	0	0	1	0	0	1	//타이거보우								
	4	12	0	0	1	0	0	1	//서팬트석궁								
	2	8	0	0	1	0	0	1	//베틀셉터								
	7	6	0	0	0	0	0	1	//비늘헬멧								
	8	6	0	0	0	0	0	1	//비늘갑옷								
	9	6	0	0	0	0	0	1	//비늘바지								
	10	6	0	0	0	0	0	1	//비늘장갑								
	11	6	0	0	0	0	0	1	//비늘부츠								
	7	7	0	0	0	0	0	1	//스핑크스마스크								
	8	7	0	0	0	0	0	1	//스핑크스갑옷								
	9	7	0	0	0	0	0	1	//스핑크스바지								
	10	7	0	0	0	0	0	1	//스핑크스장갑								
	11	7	0	0	0	0	0	1	//스핑크스부츠								
	7	12	0	0	0	0	0	1	//바람의헬멧								
	8	12	0	0	0	0	0	1	//바람의갑옷								
	9	12	0	0	0	0	0	1	//바람의바지								
	10	12	0	0	0	0	0	1	//바람의장갑								
	11	12	0	0	0	0	0	1	//바람의부츠								
	6	5	0	0	1	0	0	1	//드래곤슬레이어방패								
	6	11	0	0	1	0	0	1	//서펜트방패								
end																	
//획득확률 : 500/10000																	
500																	
	5	5	0	0	1	0	0	1	//전설의지팡이								
	4	14	0	0	1	0	0	1	//아쿠아골드석궁								
	2	5	0	0	1	0	0	1	//크리스탈검								
	0	14	0	0	1	0	0	1	//번개검								
	2	9	0	0	1	0	0	1	//마스터셉터								
	7	1	0	0	0	0	0	1	//드라곤투구								
	10	1	0	0	0	0	0	1	//드라곤장갑								
	11	1	0	0	0	0	0	1	//드라곤부츠								
	7	14	0	0	0	0	0	1	//수호헬멧								
	10	14	0	0	0	0	0	1	//수호장갑								
	11	14	0	0	0	0	0	1	//수호부츠								
	7	3	0	0	0	0	0	1	//전설의헬멧								
	8	3	0	0	0	0	0	1	//전설의갑옷								
	10	3	0	0	0	0	0	1	//전설의장갑								
	7	26	0	0	0	0	0	1	//다크소울마스크								
	10	26	0	0	0	0	0	1	//다크소울장갑								
	11	26	0	0	0	0	0	1	//다크소울부츠								
	6	13	0	0	1	0	0	1	//드라곤방패								
	6	14	0	0	1	0	0	1	//전설의방패								
end																	
//획득확률 : 100/10000																	
100																	
	12	15	0	0	0	0	0	0	//혼돈의보석								
end																	
//획득확률 : 50/10000																	
50																	
	14	14	0	0	0	0	0	0	//영혼의보석								
end																	
//획득확률 : 30/10000																	
30																	
	14	22	0	0	0	0	0	0	//창조의보석								
end																	
//획득확률 : 20/10000																	
20																	
	14	13	0	0	0	0	0	0	//축복의보석								
end																	
end
