////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////						
//	[Script]	PeriodBuffEffect.txt				
//	[ Text  Version ]	1.0.0.3				
//	[ 최종 작업자 ]	홍승욱				
//	[ 최종 작업일 ]	2012-09-06 16:42				
//	[ 작 업 내 용 ]	EX2 업데이트 아르카쟁 보상 버프 상향 수정				
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////						
// 아르카쟁 보상 길드 버프 관련 서버 스크립트						
						
//Type						
0						
//버프인덱스	버프효과타입1	효과값1	버프효과타입2	효과값2	시간(초단위)	
179	0	25	0	0	604800	// 스킬 공격력 증가
180	0	50	0	0	604800	// 방어력 증가
181	55	5	0	0	604800	// 크리티컬 확률 상승
182	85	30	0	0	604800	// 공격력, 마력 증가
183	86	10	0	0	604800	// 데미지 감소
184	20	0	0	0	90	// 디버프 일정시간 이동속도 감소
// 대천사의절대무기 버프 스킬						
246	105	200	106	50	1800	// 대천사의절대무기 버프 스킬  (대인공격데미지증가 / 스킬공격력)
247	0	0	0	5	0	// 버프효과타입1:파티가 없을경우  버프효과타입2: 추가 파티원수마다 증가
end						
