// NOTES: 
// 1. Each map can have a maximum of 50 coordinates
// 2. Make sure there has no un-walkable spots in the coordinate range you will set here
// 3. Max is 1000 lines
// 4. You need to specify map number in EventSchedule.txt with event id 2 (drop event) 
/---------------------------------------------
|	Map	X1	Y1	X2	Y2
/---------------------------------------------
// lorencia town
	0	139	118	143	122
	0	146	118	151	122
	0	145	132	151	138
	0	138	132	144	138
	0	131	138	136	144
	0	131	124	137	130
	0	129	110	135	116
	0	114	117	119	121
	0	114	126	118	130
	0	114	133	118	137
	0	122	140	127	144
	0	98	127	110	127
	0	134	90	134	105
	0	157	127	171	127
	0	134	151	134	163
	0	124	124	124	131
// devias town
	2	199	36	220	50
	2	222	58	222	75
	2	236	36	236	60
	2	219	11	219	34
	2	220	32	235	32
	2	224	8	238	15
	2	210	16	210	27
	2	189	23	200	36
	2	171	40	182	40
// noria town
	3	174	89	174	118
	3	169	84	171	89
	3	183	102	197	105
	3	200	109	200	124
	3	180	121	193	121
