//############################################
// POWERED BY MU ENGINE                     //
// WWW.MUENGINE.ORG                      	//
// Edited By: ScriptKid                    	//
//###########################################

//旨收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收旬
//早 Box Of Kundun +1 Drop Settings                                               早
//曲收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收旭					
1
//	EventName	                  DropZen	EventItemType	EventItemIndex	EventItemLevel	EventItemDropRate	ItemDropRate	ExItemDropRate											
	"Heart of Love"	0	0	                  0	0	0	                  100	                                                      500											
end
// | Type | Index | MinLevel | MaxLevel | Skill | Luck | Option | Excellent |	

10
//type	index	min-lvl	max-lvl		skill-rate	luck-rate	add	exc1-rate	exc2-rate	exc3-rate	arka-only
1000

13	8	0	0	50	50	0	100	5	0	0	// Ring of Ice
13	9	0	0	50	50	0	100	5	0	0	// Ring of Poison
13	21	0	0	50	50	0	100	5	0	0	// Ring of Fire
13	22	0	0	50	50	0	100	5	0	0	// Ring of Earth
13	23	0	0	50	50	0	100	5	0	0	// Ring of Wind
13	24	0	0	50	50	0	100	5	0	0	// Ring of Magic
13	12	0	0	50	50	0	100	5	0	0	// Pendant of Lighting
13	13	0	0	50	50	0	100	5	0	0	// Pendant of Fire
13	25	0	0	50	50	0	100	5	0	0	// Pendant of Ice
13	26	0	0	50	50	0	100	5	0	0	// Pendant of Wind
13	27	0	0	50	50	0	100	5	0	0	// Pendant of Water
13	28	0	0	50	50	0	100	5	0	0	// Pendant of Ability
end

2000
0	34	0	0	50	50	0	100	5	0	0	// Piercing Blade Glove
0	33	0	0	50	50	0	100	5	0	0	// Holy Storm Claws
0	34	0	0	50	50	0	100	5	0	0	// Piercing Blade Glove
0	31	0	0	50	50	0	100	5	0	0	// Rune Blade
0	24	0	0	50	50	0	100	5	0	0	// Daybreak
0	21	0	0	50	50	0	100	5	0	0	// Dark Reign Blade
0	20	0	0	50	50	0	100	5	0	0	// Knight Blade
0	18	0	0	50	50	0	100	5	0	0	// Thunder Blade
0	17	0	0	50	50	0	100	5	0	0	// Dark Breaker
0	16	0	0	50	50	0	100	5	0	0	// Sword of Destruction
1	8	0	0	50	50	0	100	5	0	0	// Crescent Axe
1	7	0	0	50	50	0	100	5	0	0	// Larkan Axe
