//-------------------------------------------------------------------------------------------------------------------------------------------------------------//
//Index	Option	Rank	iType	iIndex	Opt+0	Opt+1	Opt+2	Opt+3	Opt+4	Opt+5	Opt+6	Opt+7	Opt+8	Opt+9	Opt+10	Desc
//-------------------------------------------------------------------------------------------------------------------------------------------------------------//
0	1	1	12	221	30	33	38	45	54	65	78	93	113	138	168	"Elemental Dmg"																																
1	1	2	12	221	5	6	7	8	9	10	12	14	16	18	20	"Attack Against Fire Element"																																
2	2	2	12	221	5	6	7	8	9	10	12	14	16	18	20	"Attack Against Water Element"																																
3	3	2	12	221	5	6	7	8	9	10	12	14	16	18	20	"Attack Against Earth Element"																																
4	4	2	12	221	5	6	7	8	9	10	12	14	16	18	20	"Attack Against Wind Element"																																
5	5	2	12	221	5	6	7	8	9	10	12	14	16	18	20	"Attack Against Dark Element"
6	1	3	12	221	30	35	43	54	66	80	97	117	142	172	207	"Elemental Attack Dmg (in PvP)"																																
7	2	3	12	221	30	35	43	54	66	80	97	117	142	172	207	"Elemental Attack Dmg (in Raids)"																																
8	1	4	12	221	30	35	43	54	66	80	97	117	142	172	207	"Ranged Elemental Attack Dmg (in PvP)"																																
9	2	4	12	221	30	35	43	54	66	80	97	117	142	172	207	"Melee Elemental Attack Dmg (in PvP)"																																
10	1	5	12	221	5	6	7	8	9	10	12	14	16	18	20	"Elemental Critical Rate (in PvP)"																																
11	2	5	12	221	5	6	7	8	9	10	12	14	16	18	20	"Elemental Critical Rate (in Raids)"																																
12	1	1	12	231	10	13	17	22	28	35	43	52	62	73	85	"Elemental Defense"																																
13	1	2	12	231	5	6	7	8	9	10	12	14	16	18	20	"Defense Against Fire Element"																																
14	2	2	12	231	5	6	7	8	9	10	12	14	16	18	20	"Defense Against Water Element"																																
15	3	2	12	231	5	6	7	8	9	10	12	14	16	18	20	"Defense Against Earth Element"																																
16	4	2	12	231	5	6	7	8	9	10	12	14	16	18	20	"Defense Against Wind Element"																																
17	5	2	12	231	5	6	7	8	9	10	12	14	16	18	20	"Defense Against Dark Element"																																
