//rIdx	Sub Index	Sub Group	Unk1	Group	Index	Name	Kind A	Kind B	Type	Two Hands	Drop Level	Slot	Skill Index	Width	Height	Damage Min	Damage Max	Successful Blocking	Defense	Attack Speed	Walk Speed	Durability	Magic Durability	Magic Power	Req Strength	Req Dexterity	Req Energy	Req Vitality	Req Command	Req Level	Item Value	Money	Set Attribute	Dark Wizard	Dark Knight	Fairy Elf	Magic Gladiator	Dark Lord	Summoner	Rage Fighter	Grow Lancer	Rune Wizard	Ice Resistance	Poison Resistance	Lightning Resistance	Fire Resistance	Earth Resistance	Wind Resistance	Water Resistance	Dump	Transaction	Personal Store	Store Warehouse	Sell to NPC	Unk2	Repair	Overlap	Unk3
0	0	0	0	0	0	"Kris"	1	1	1	0	6	0	0	1	2	6	11	0	0	50	0	20	0	0	40	40	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0
1	1	0	0	0	1	"Short Sword"	1	1	1	0	3	0	0	1	3	3	7	0	0	20	0	22	0	0	60	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0
2	2	0	0	0	2	"Rapier"	1	1	1	0	9	0	0	1	3	9	15	0	0	40	0	23	0	0	50	40	0	0	0	0	0	0	1	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0
3	3	0	0	0	3	"Katana"	1	1	1	0	16	0	20	1	3	16	26	0	0	35	0	27	0	0	80	40	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0
4	4	0	0	0	4	"Sword of Assassin"	1	1	1	0	12	0	21	1	3	12	18	0	0	30	0	24	0	0	60	40	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0
5	5	0	0	0	5	"Blade"	1	1	1	0	36	0	22	1	3	36	47	0	0	30	0	39	0	0	80	50	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0
6	6	0	0	0	6	"Gladius"	1	1	1	0	20	0	20	1	3	20	30	0	0	20	0	30	0	0	110	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0
7	7	0	0	0	7	"Falchion"	1	1	1	0	24	0	21	1	3	24	34	0	0	25	0	34	0	0	120	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0
8	8	0	0	0	8	"Serpent Sword"	1	1	1	0	30	0	21	1	3	30	40	0	0	20	0	36	0	0	130	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0
9	9	0	0	0	9	"Sword of Salamander"	1	1	1	1	32	0	20	2	3	32	46	0	0	30	0	40	0	0	103	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0
10	10	0	0	0	10	"Light Saber"	1	1	1	1	40	0	22	2	4	47	61	0	0	25	0	50	0	0	80	60	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0
11	11	0	0	0	11	"Legendary Sword"	1	1	1	1	44	0	20	2	3	56	72	0	0	20	0	54	0	0	120	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0
12	12	0	0	0	12	"Heliacal Sword"	1	1	1	1	56	0	19	2	3	73	98	0	0	25	0	66	0	0	140	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0
13	13	0	0	0	13	"Double Blade"	1	1	1	0	48	0	22	1	3	48	56	0	0	30	0	43	0	0	70	70	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0
14	14	0	0	0	14	"Lighting Sword"	1	1	1	0	59	0	22	1	3	59	67	0	0	30	0	50	0	0	90	50	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0
15	15	0	0	0	15	"Giant Sword"	1	1	1	1	52	0	23	2	3	60	85	0	0	20	0	60	0	0	140	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0
16	16	0	0	0	16	"Sword of Destruction"	1	1	1	0	82	0	22	1	4	82	90	0	0	35	0	84	0	0	160	60	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0
17	17	0	0	0	17	"Dark Breaker"	1	1	1	1	104	0	23	2	4	128	153	0	0	40	0	89	0	0	180	50	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0
18	18	0	0	0	18	"Thunder Blade"	1	2	1	1	105	0	23	2	3	140	168	0	0	40	0	86	0	0	180	50	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0
19	19	0	0	0	19	"Divine Sword of Archangel"	1	1	6	0	86	0	22	1	4	220	230	0	0	45	0	168	0	0	140	50	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0
20	20	0	0	0	20	"Knight Blade"	1	1	1	0	140	0	22	1	4	107	115	0	0	35	0	90	0	0	116	38	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0
21	21	0	0	0	21	"Dark Reign Blade"	1	2	1	1	140	0	56	2	4	115	142	0	0	40	0	100	0	115	116	53	9	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0
22	22	0	0	0	22	"Bone Blade"	1	1	3	0	147	0	22	1	4	122	135	0	0	40	0	95	0	0	100	35	0	0	0	380	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0
23	23	0	0	0	23	"Explosion Blade"	1	2	3	1	147	0	56	2	4	127	155	0	0	45	0	110	0	134	98	48	7	0	0	380	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0
24	24	0	0	0	24	"Daybreak"	1	1	1	1	115	0	22	2	4	182	218	0	0	40	0	90	0	0	192	30	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0
25	25	0	0	0	25	"Sword Dancer"	1	2	1	1	115	0	56	2	4	109	136	0	0	40	0	90	0	108	136	57	9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0
26	26	0	0	0	26	"Flameberge"	1	1	2	0	137	0	22	1	4	115	126	0	0	40	0	90	0	0	193	53	0	0	0	380	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0
27	27	0	0	0	27	"Sword Breaker"	1	1	2	0	133	0	22	1	4	91	99	0	0	35	0	90	0	0	53	176	0	0	0	380	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0
28	28	0	0	0	28	"Rune Bastard Sword"	1	2	2	0	139	0	56	1	4	98	122	0	0	45	0	90	0	109	91	73	17	0	0	380	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0
29	29	0	0	0	29	"Sonic Blade"	1	1	2	0	149	0	22	1	4	109	116	0	0	35	0	80	0	0	49	162	0	0	0	400	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0
30	30	0	0	0	30	"Asura"	1	2	2	0	149	0	56	1	4	115	140	0	0	45	0	90	0	112	86	70	16	0	0	400	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0
31	31	0	0	0	31	"Rune Blade"	1	2	1	1	100	0	56	2	4	104	130	0	0	35	0	93	0	104	135	62	9	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0
32	32	0	0	0	32	"Sacred Glove"	1	3	1	0	52	0	260	1	2	52	58	0	0	25	0	65	0	0	85	35	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0
33	33	0	0	0	33	"Holy Storm Claw"	1	3	1	0	82	0	261	1	2	82	88	0	0	30	0	77	0	0	100	50	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0
34	34	0	0	0	34	"Piercing Blade Glove"	1	3	1	0	105	0	260	1	2	95	101	0	0	35	0	86	0	0	120	60	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0
35	35	0	0	0	35	"Phoenix Soul Star"	1	3	3	0	147	0	270	1	2	122	128	0	0	40	0	98	0	0	101	51	0	0	0	380	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0
36	36	0	0	0	36	"Cyclone Sword"	1	1	2	0	149	0	22	1	4	129	144	0	0	40	0	90	0	0	182	50	0	0	0	400	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0
37	37	0	0	0	37	"Blast Break"	1	1	2	1	149	0	23	2	4	163	216	0	0	30	0	130	0	0	182	50	0	0	0	400	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0
38	38	0	0	0	38	"Prickle Glove"	1	3	2	0	147	0	261	1	2	149	168	0	0	50	0	98	0	0	101	63	0	0	0	400	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0
39	39	0	0	0	39	"Lighting Sword-J"	1	1	5	0	59	0	22	1	3	59	67	0	0	35	0	50	0	0	90	50	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0
40	40	0	0	0	40	"Sacred Glove-J"	1	3	5	0	52	0	260	1	2	52	58	0	0	30	0	65	0	0	85	35	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0
41	41	0	0	0	41	"Pandora Pick (two-handed)"	0	0	0	1	0	0	0	2	2	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
42	42	0	0	0	42	"Bloodangel Sword"	14	1	1	0	150	0	22	1	4	252	263	0	0	40	0	100	0	0	165	51	125	0	0	400	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0
43	43	0	0	0	44	"Bloodangel Magic Sword"	14	2	1	0	150	0	56	1	4	246	257	0	0	45	0	100	0	112	120	72	17	0	0	400	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0
44	44	0	0	0	46	"Bloodangel Claw"	14	3	1	0	150	0	270	1	2	147	157	0	0	35	0	100	0	0	95	30	0	0	0	400	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0
45	45	0	0	0	51	"Blessed Divine Arch Sword"	1	1	8	0	200	0	22	1	4	265	275	0	0	45	0	170	0	0	60	30	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0
46	46	0	0	0	52	"Pantera Claws"	1	3	2	0	139	0	270	1	2	26	34	0	0	40	0	95	0	0	78	25	0	0	0	380	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0
47	47	0	0	0	53	"Devast Claws"	1	3	2	0	149	0	270	1	2	35	46	0	0	40	0	95	0	0	82	28	0	0	0	400	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0
48	0	0	0	0	54	"Darkangel Sword"	14	1	1	0	160	0	22	1	4	302	313	0	0	40	0	100	0	0	165	51	120	0	0	600	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0
49	0	0	0	0	55	"Darkangel Magic Sword"	14	2	1	0	160	0	56	1	4	300	311	0	0	45	0	100	0	118	120	72	17	0	0	600	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0
50	0	0	0	0	56	"Darkangel Claws"	14	3	1	0	160	0	270	1	2	214	224	0	0	35	0	100	0	0	95	30	0	0	0	600	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0
51	57	0	0	0	57	"Holyangel Sword"	14	1	1	0	180	0	22	1	4	365	376	0	0	40	0	100	0	0	152	47	111	0	0	800	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0
52	58	0	0	0	58	"Holyangel Magic Sword"	14	2	1	0	180	0	56	1	4	364	375	0	0	45	0	100	0	125	111	67	16	0	0	800	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0
