////////////////////////////////////////////////////////////////////////////////																																	
//	[ Text  Version ]	0.0.0.3																															
//	[ 최종 작업자 ]	이기수																															
//	[ 최종 작업일 ]	2008-10-21 14:00																															
//	[ 작 업 내 용 ]	"마력증대, 기간틱 레벨 수정(100 -> 220)"																															
////////////////////////////////////////////////////////////////////////////////																																	
//속성1 [-1(없음). 0(얼음). 1(독). 2(번개). 3(불). 4(땅). 5(바람). 6(물)]																																	
//속성2 [-1(없음). 0(물리). 1(마법)]																																	
// SkillBrand [특정 스킬이 있어야지만 사용이 가능]. 마스터레벨의 경우 액티브 강화 스킬은 선행스킬 조건을 같은 스킬로 넣어야함																																	
// SkillUsetype [0(일반스킬). 1(직책스킬). 3(마스터레벨:패시브). 4(마스터레벨:액티브)]																																	
// 스킬 타입 : [0(일반스킬). 1(버프:아군에게 이로운 효과). 2(디버프:적군에게 해로운 효과). 3(치료:대상을 회복시킴)]																																	
//번호	Name	레벨	데미지	사용마나량	어빌리티	거리	Delay	Eng	Cha	속성	속성2	SkilluseType	SkillBrand	KillCout	길마	부길마	베틀마스터	흑마법사	흑기사	요정	마검사	다크로드	소환술사	스킬랭크	스킬그룹	필요마스터레벨포인트	소모체력	소모SD	지속시간	필요힘	필요민첩	아이콘번호	스킬 타입
17	"에너지볼"	2	3	1	0	6	0	0	0	-1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
4	"파이어볼"	5	8	3	0	6	0	100	0	3	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
11	"파워웨이브"	9	14	5	0	6	0	100	0	-1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
3	"번개"	13	17	15	0	6	0	100	0	2	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
6	"순간이동"	17	0	30	0	6	0	100	0	-1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	"운석"	21	21	12	0	6	0	100	0	4	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
7	"얼음"	25	10	38	0	6	0	100	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2
1	"포이즌"	30	12	42	0	6	0	100	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
5	"불기둥"	35	25	50	0	6	0	100	0	3	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
8	"회오리"	40	35	60	0	6	0	100	0	5	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
