//////////////////////////////////////////////////////////////////////////////////////										
// DoppelgangerItenBag										
//	[ Start  ] 	2009.07.								
//	[ Latest ]	2009-07-  12:00:00 PM								
//	[ Author ]	이기수								
//	[ Version ]	0.0.0.0								
//	[ Text ]									
//	[ Desc ]									
//////////////////////////////////////////////////////////////////////////////////////										
//probability designation column										
0										
	//skill	luck	addoption	exitemflag						
	700000	100000	120000	40000						
	700000	100000	100000	40000						
	700000	100000	50000	40000						
	700000	100000	10000	40000						
	700000	100000	120000	50000						
	700000	100000	100000	50000						
	700000	100000	50000	50000						
	700000	100000	10000	50000						
	0	0	0	0						
	0	0	0	0						
	0	0	0	0						
	0	0	0	0						
	0	0	0	0						
	0	0	0	0						
	0	0	0	0						
	0	0	0	0						
	0	0	0	0						
	0	0	0	0						
	0	0	0	0						
	0	0	0	0						
	0	0	0	0						
	0	0	0	0						
	0	0	0	0						
	0	0	0	0						
	0	0	0	0						
end										
// Probability of each additional option attached ( Total is 1000000 should be)										
1										
	850000		// +4/+5							
	100000		// +8/+10							
	50000		// +12/+15							
	0		// +16/+20							
end										
// Probability of each number of excellent item options ( Total is 1000000이 should be)										
2										
	950000		// Probability of getting 1							
	45000		// Probability of getting 2						
	5000		// Probability of getting 3							
end										
// Probability of having each excellent option of an excellent item (sum must be 1000000)									
3										
	100000	100000	// 1번 옵션							
	200000	200000	// 2번 옵션							
	200000	200000	// 3번 옵션							
	200000	200000	// 4번 옵션							
	200000	200000	// 5번 옵션							
	100000	100000	// 6번 옵션							
end										
// list of items										
// weaponry										
//	type	index	minLevel	maxLevel	skill	luck	addoption	exitemflag		
4	0	5	0	7	1	1	1	1	//블레이드	
	5	3	0	7	1	1	1	1	//번개지팡이	
	5	4	0	7	1	1	1	1	//고르곤지팡이	
	4	4	0	7	1	1	1	1	//타이거보우	
	2	10	0	7	1	1	1	1	//그레이트셉터	
	5	15	0	7	1	1	1	1	//바이올렌윈드스틱	
end										
//	type	index	minLevel	maxLevel	skill	luck	addoption	exitemflag		
5	0	14	0	7	1	1	1	1	//번개검	
	3	9	0	7	1	1	1	1	//발록의낫	
	5	5	0	7	1	1	1	1	//전설의지팡이	
	5	6	0	7	1	1	1	1	//부활의지팡이	
	5	8	0	7	1	1	1	1	//파멸의지팡이	
	4	5	0	7	1	1	1	1	//실버보우	
	2	11	0	7	1	1	1	1	//로드셉터	
	5	16	0	7	1	1	1	1	//레드윙스틱	
end										
//	type	index	minLevel	maxLevel	skill	luck	addoption	exitemflag		
6	3	10	0	7	1	1	1	1	//드라곤스피어	
	0	16	0	7	1	1	1	1	//파괴의검	
	0	17	0	7	1	1	1	1	//다크브레이커	
	0	18	0	7	1	1	1	1	//선더블레이드	
	5	9	0	7	1	1	1	1	//드래곤소울지팡이	
