// 65			
//시작X	시작Y	종료X	종료Y
0			
121	118	130	136
118	118	122	136
114	119	119	135
110	119	115	135
106	119	111	135
102	119	107	135
98	119	103	135
87	119	99	129
82	114	96	120
81	109	91	115
82	106	90	110
82	103	90	107
81	100	92	104
83	97	92	101
83	94	95	98
83	91	97	95
86	88	96	92
87	84	95	89
87	79	95	85
84	74	94	80
80	64	91	75
73	62	81	72
66	62	74	71
end			
			
// 66			
//시작X	시작Y	종료X	종료Y
1			
122	124	134	136
122	135	134	139
122	138	134	142
122	141	134	145
122	144	134	148
122	147	134	151
122	150	134	155
120	154	130	169
117	158	121	173
112	162	118	173
108	164	113	172
105	164	109	172
102	164	106	172
99	164	103	172
96	162	100	173
93	161	97	171
90	160	94	170
87	160	91	168
82	160	88	168
77	160	83	170
67	163	78	173
64	172	75	181
64	180	75	194
end			
			
// 67			
//시작X	시작Y	종료X	종료Y
2			
125	121	138	134
137	122	143	132
142	122	146	132
145	122	149	132
148	122	152	132
151	122	155	132
154	123	159	134
158	126	163	137
162	127	172	138
162	137	175	141
165	140	175	145
166	144	174	148
165	147	176	151
165	150	175	155
163	154	174	159
161	158	173	163
161	162	170	168
161	167	169	173
161	172	170	186
169	176	176	190
175	181	182	192
181	182	186	192
185	182	196	192
end			
			
// 68			
//시작X	시작Y	종료X	종료Y
3			
120	120	135	134
120	116	135	121
120	112	135	117
120	108	135	113
120	104	135	109
120	100	135	105
122	97	137	101
124	94	138	98
126	91	141	95
127	88	144	92
129	81	145	89
144	77	149	93
148	77	152	93
151	77	155	93
154	79	159	94
158	79	163	96
162	81	167	97
166	81	171	98
170	82	176	98
175	82	190	95
178	77	194	83
181	70	196	78
182	63	195	71
end			
			
// 준비시 막힌위치			
//시작X	시작Y	종료X	종료Y
4			
65	60	70	73
63	185	76	191
188	180	194	194
182	66	194	72
end			
