0											
//id	index	u1	class	point	max	u4	r1	r2	skill	u5	
0	1	1	0	1	20	4	0	0	300	5.184804
1	4	1	0	1	20	0	0	0	301	1.681558
2	6	1	0	1	20	3	0	0	302	1.821688
3	8	1	0	1	20	3	0	0	303	9.809089
4	9	1	0	1	20	4	300	0	305	2.382207
5	10	1	0	1	20	0	302	0	306	1.401298
6	12	1	0	1	20	3	303	0	307	1.401298
7	14	1	0	1	20	3	0	0	309	2.242078
8	15	1	0	1	10	0	0	0	746	2.270104
9	16	1	0	1	20	0	307	0	310	1.401298
10	17	1	0	1	20	0	305	0	312	2.382207
11	18	1	0	1	20	0	309	0	313	1.401298
12	23	1	0	1	20	1	0	0	315	4.203895
13	24	1	0	1	20	0	315	0	316	5.324934
14	25	1	0	1	20	0	0	0	317	5.605194
15	26	1	0	1	20	0	0	0	318	5.605194
16	27	1	0	1	20	0	0	0	319	5.605194
17	28	1	0	1	20	0	0	0	320	5.605194
18	30	1	0	1	20	3	0	0	322	2.382207
19	31	1	0	1	20	0	0	0	624	2.802597
20	32	1	0	1	20	3	0	0	623	2.802597
21	34	1	0	1	20	0	322	0	324	2.382207
22	35	1	0	1	20	0	0	0	626	4.904545
23	36	1	0	1	20	0	623	0	625	5.465064
24	37	1	1	1	20	0	0	0	325	1.821688
25	41	1	1	1	20	0	0	0	326	5.605194
26	42	1	1	1	20	0	0	0	327	5.605194
27	43	1	1	1	20	0	0	0	328	2.382207
28	44	1	1	1	20	0	0	0	329	2.382207
29	45	1	1	1	20	0	0	0	330	5.605194
30	46	1	1	1	20	0	0	0	331	3.082857
31	51	1	1	1	20	3	0	0	334	1.261169
32	52	1	1	1	20	0	0	0	335	3.082857
33	53	1	1	1	20	3	0	0	336	3.082857
34	54	1	1	1	20	0	0	0	337	3.082857
35	55	1	1	1	20	3	334	0	338	1.261169
36	57	1	1	1	20	0	336	0	339	3.082857
37	59	1	1	1	20	0	338	0	341	1.121039
38	61	1	1	1	20	0	0	0	345	9.809089
39	63	1	1	1	20	0	0	0	743	6.025583
40	66	1	1	10	10	3	0	0	344	3.503246
41	67	1	1	10	10	0	0	0	631	4.203895
42	70	1	1	1	20	0	344	0	346	7.006492
43	73	1	2	1	20	0	0	0	347	1.961818
44	77	1	2	1	20	3	0	0	348	5.885454
45	78	1	2	1	20	3	0	0	349	3.082857
46	79	1	2	1	20	3	0	0	350	4.203895
47	80	1	2	1	20	3	0	0	351	5.745324
48	81	1	2	1	20	0	348	0	352	5.745324
49	82	1	2	1	10	0	349	0	353	3.222986
50	83	1	2	1	20	0	350	0	354	1.401298
51	84	1	2	1	20	0	351	0	355	1.401298
52	85	1	2	1	20	3	0	0	356	9.809089
53	86	1	2	1	20	0	0	0	357	2.522337
54	87	1	2	1	20	0	0	0	358	1.541428
55	88	1	2	1	20	3	0	0	359	8.407791
