//Type	Index	Level	Skill	Luck	Opt	MaxExc	Fixed
3	5	3	1	1	1	0	1
3	1	3	1	1	1	0	1
3	3	3	1	1	1	0	1
3	7	3	1	1	1	0	1
3	4	3	1	1	1	0	1
3	0	3	1	1	1	0	1
0	10	3	1	1	1	0	1
2	3	3	1	1	1	0	1
6	0	0	1	1	1	0	1
6	4	1	1	1	1	0	1
6	1	2	1	1	1	0	1
6	2	3	1	1	1	0	1
6	6	3	1	1	1	0	1
6	10	3	1	1	1	0	1
6	9	3	1	1	1	0	1
6	7	3	1	1	1	0	1
6	5	3	1	1	1	0	1
6	8	3	1	1	1	0	1
6	11	3	1	1	1	0	1
6	12	3	1	1	1	0	1
0	1	0	1	1	1	0	1
1	1	1	1	1	1	0	1
2	0	2	1	1	1	0	1
0	2	2	1	1	1	0	1
1	2	2	1	1	1	0	1
0	4	3	1	1	1	0	1
2	1	3	1	1	1	0	1
1	3	3	1	1	1	0	1
0	0	2	1	1	1	0	1
0	6	3	1	1	1	0	1
0	7	3	1	1	1	0	1
0	8	3	1	1	1	0	1
0	5	3	1	1	1	0	1
14	0	0	0	0	0	0	1
14	8	0	0	0	0	0	1
14	0	1	0	0	0	0	1
4	7	0	0	0	0	0	1
4	7	1	0	0	0	0	1
4	7	2	0	0	0	0	1
4	15	0	0	0	0	0	1
4	15	1	0	0	0	0	1
4	15	2	0	0	0	0	1
13	29	0	0	0	0	0	1
14	10	0	0	0	0	0	1
0	16	3	1	1	3	0	1
2	8	3	1	1	3	0	1
2	9	3	1	1	3	0	1
4	14	3	1	1	3	0	1
4	16	3	1	1	3	0	1
5	6	3	0	1	3	0	1
7	1	3	0	1	1	0	1
8	1	3	0	1	1	0	1
9	1	3	0	1	1	0	1
10	1	3	0	1	1	0	1
11	1	3	0	1	1	0	1
0	9	3	1	1	1	0	1
0	11	3	1	1	1	0	1
0	15	3	1	1	1	0	1
0	13	3	1	1	1	0	1
0	12	3	1	1	1	0	1
0	14	3	1	1	1	0	1
4	12	3	1	1	1	0	1
3	8	3	1	1	1	0	1
3	9	3	1	1	1	0	1
4	5	3	1	1	1	0	1
4	13	3	1	1	1	0	1
15	3	0	0	0	0	0	1
15	10	0	0	0	0	0	1
15	1	0	0	0	0	0	1
15	6	0	0	0	0	0	1
15	20	0	0	0	0	0	1
7	39	2	0	1	1	0	1
8	39	2	0	1	1	0	1
9	39	2	0	1	1	0	1
10	39	2	0	1	1	0	1
11	39	2	0	1	1	0	1
7	40	3	0	1	1	0	1
8	40	3	0	1	1	0	1
9	40	3	0	1	1	0	1
10	40	3	0	1	1	0	1
11	40	3	0	1	1	0	1
1	0	1	0	1	1	0	1
0	1	0	0	1	1	0	1
1	1	1	0	1	1	0	1
0	2	2	1	1	1	0	1
1	4	1	0	1	1	0	1
0	0	1	0	1	1	0	1
5	0	1	0	1	1	0	1
5	14	1	0	1	1	0	1
5	15	2	0	1	1	0	1
5	16	3	0	1	1	0	1
