//3.데비아스에서 나오는 보스몹(고르곤급으로 +5짜리 아이템 나옴)
// type, index, level, skill, option
0 10 5 0 0 0 
0 11 5 0 0 0 
0 13 5 0 0 0 
1 6 5 0 0 0 
1 7 5 0 0 0 
2 3 5 0 0 0 
3 7 5 0 0 0 
3 0 5 0 0 0 
3 4 5 0 0 0 
4 11 5 0 0 0 
4 4 5 0 0 0 
4 12 5 0 0 0 
5 3 5 0 0 0 
6 5 5 0 0 0 
6 8 5 0 0 0 
6 11 5 0 0 0 
7 8 5 0 0 0 
7 9 5 0 0 0 
7 7 5 0 0 0 
7 12 5 0 0 0 
7 13 5 0 0 0 
8 8 5 0 0 0 
8 9 5 0 0 0 
8 7 5 0 0 0 
8 12 5 0 0 0 
8 13 5 0 0 0 
9 8 5 0 0 0 
9 9 5 0 0 0 
9 7 5 0 0 0 
9 12 5 0 0 0 
9 13 5 0 0 0 
10 8 5 0 0 0 
10 9 5 0 0 0 
10 7 5 0 0 0 
10 12 5 0 0 0 
10 13 5 0 0 0 
11 8 5 0 0 0 
11 9 5 0 0 0 
11 7 5 0 0 0 
11 12 5 0 0 0 
11 13 5 0 0 0 


//악세사리
13 0  0 0 0 0
13 1  0 0 0 0
13 2  0 0 0 0
13 8  0 0 0 2
13 9  0 0 0 2
13 12 0 0 0 2
13 13 0 0 0 2

//보석
14 13 0 0 0 0
14 14 0 0 0 0

// 혼석
12 15 0 0 0 0
