//Index	Name
0
0	"Kris"
1	"Short Sword"
2	"Rapier"
3	"Katana"
4	"Sword of Assassin"
5	"Blade"
6	"Gladius"
7	"Falchion"
8	"Serpent Sword"
9	"Sword of Salamander"
10	"Light Saber"
11	"Legendary Sword"
12	"Heliacal Sword"
13	"Double Blade"
14	"Lighting Sword"
15	"Giant Sword"
16	"Sword of Destruction"
17	"Dark Breaker"
18	"Thunder Blade"
19	"Divine Sword of Archangel"
20	"Knight Blade"
21	"Dark Reign Blade"
22	"Bone Blade"
23	"Explosion Blade"
24	"Daybreak"
25	"Sword Dancer"
26	"Flameberge"
27	"Sword Breaker"
28	"Rune Bastard Sword"
29	"Sonic Blade"
30	"Asura"
31	"Rune Blade"
32	"Sacred Glove"
33	"Holy Storm Claw"
34	"Piercing Blade Glove"
35	"Phoenix Soul Star"
36	"Cyclone Sword"
37	"Blast Break"
39	"Lighting Sword-J"
40	"Sacred Glove-J"
41	"Pandora Pick (two-handed)"
end

1
0	"Small Axe"
1	"Hand Axe"
2	"Double Axe"
3	"Tomahawk"
4	"Elven Axe"
5	"Battle Axe"
6	"Nikea Axe"
7	"Larkan Axe"
8	"Crescent Axe"
end

2
0	"Mace"
1	"Morning Star"
2	"Flail"
3	"Great Hammer"
4	"Crystal Morning Star"
5	"Crystal Sword"
6	"Chaos Dragon Axe"
7	"Elemental Mace"
8	"Battle Scepter"
9	"Master Scepter"
10	"Great Scepter"
11	"Lord Scepter"
12	"Great Lord Scepter"
13	"Divine Scepter of Archangel"
14	"Soleil Scepter"
15	"Shining Scepter"
16	"Frost Mace"
17	"Absolute Scepter"
18	"Striker Scepter"
19	"Thunderbolt"
20	"Horn of Steal"
21	"Master Scepter-J"
end

3
0	"Light Spear"
1	"Spear"
2	"Dragon Lance"
3	"Giant Trident"
4	"Serpent Spear"
5	"Double Poleaxe"
6	"Halberd"
7	"Berdysh"
8	"Great Scythe"
9	"Bill of Balrog"
10	"Dragon Spear"
11	"Brova"
12	"Magmus Peer"
13	"Lapid Lance"
14	"Conmocion Lance"
15	"Pluma Lance"
16	"Vis Lance"
17	"Prickle Lance"
18	"Alacran Lance"
end

4
0	"Short Bow"
1	"Bow"
2	"Elven Bow"
3	"Battle Bow"
4	"Tiger Bow"
5	"Silver Bow"
6	"Chaos Nature Bow"
7	"Bolt"
8	"Crossbow"
9	"Golden Crossbow"
10	"Arquebus"
11	"Light Crossbow"
12	"Serpent Crossbow"
13	"Bluewing Crossbow"
14	"Aquagold Crossbow"
15	"Arrow"
16	"Saint Crossbow"
17	"Celestial Bow"
18	"Divine Crossbow of Archangel"
19	"Great Reign Crossbow"
20	"Arrow Viper Bow"
21	"Sylph Wind Bow"
22	"Albatross Bow"
23	"Dark Stinger"
24	"Aileen Bow"
25	"Angelic Bow"
26	"Devil Crossbow"
27	"Silver Bow-J"
end

5
0	"Skull Staff"
1	"Angelic Staff"
2	"Serpent Staff"
3	"Thunder Staff"
4	"Gorgon Staff"
5	"Legendary Staff"
6	"Staff of Resurrection"
7	"Chaos Lighting Staff"
8	"Staff of Destruction"
9	"Dragon Soul Staff"
10	"Divine Staff of Archangel"
11	"Staff of Kundun"
12	"Grand Viper Staff"
13	"Platina Staff"
14	"Mystery Stick"
15	"Violent Wind Stick"
16	"Red Wing Stick"
17	"Ancient Stick"
18	"Demonic Stick"
19	"Storm Blitz Stick"
20	"Eternal Wing Stick"
21	"Book of Shamut"
22	"Book of Neil"
23	"Book of Lagle"
30	"Deadly Staff"
31	"Inberial Staff"
32	"Summon Spirit Stick"
33	"Chrome Staff"
34	"Raven Stick"
35	"Miracle Staff"
36	"Divine Stick of the Archangel"
37	"Spite Staff"
38	"Legendary Staff-J"
39	"Red Wing Stick-J"
40	"Book of Neil-J"
end

6
0	"Small Shield"
1	"Horn Shield"
2	"Kite Shield"
3	"Elven Shield"
4	"Buckler"
5	"Dragon Slayer Shield"
6	"Skull Shield"
7	"Spiked Shield"
8	"Tower Shield"
9	"Plate Shield"
10	"Large Round Shield"
11	"Serpent Shield"
12	"Bronze Shield"
13	"Dragon Shield"
14	"Legendary Shield"
15	"Grand Soul Shield"
16	"Elemental Shield"
17	"Crimson Glory"
18	"Salamander Shield"
19	"Frost Barrier"
20	"Guardian Shield"
21	"Cross Shield"
22	"Lazy Wind Shield"
23	"Light Lord Shield"
24	"Dark Devil Shield"
25	"Magic Knight Shield"
26	"Ambition Shield"
27	"Legendary Shield-J"
28	"Serpent Shield-J"
29	"Lapid Shield"
30	"Pluma Shield"
31	"Alacran Shield"
32	"Vis Shield"
end

7
0	"Bronze Helm"
1	"Dragon Helm"
2	"Pad Helm"
3	"Legendary Helm"
4	"Bone Helm"
5	"Leather Helm"
6	"Scale Helm"
7	"Sphinx Mask"
8	"Brass Helm"
9	"Plate Helm"
10	"Vine Helm"
11	"Silk Helm"
12	"Wind Helm"
13	"Spirit Helm"
14	"Guardian Helm"
16	"Black Dragon Helm"
17	"Dark Phoenix Helm"
18	"Grand Soul Helm"
19	"Holy Spirit Helm"
21	"Great Dragon Helm"
22	"Dark Soul Helm"
24	"Red Spirit Helm"
25	"Light Plate Mask"
26	"Adamantine Mask"
27	"Dark Steel Mask"
28	"Dark Master Mask"
29	"Dragon Knight Helm"
30	"Venom Mist Helm"
31	"Sylphid Ray Helm"
33	"Sunlight Mask"
34	"Ashcrow Helm"
35	"Eclipse Helm"
36	"Iris Helm"
38	"Glorious Mask"
39	"Violent Wind Helm"
40	"Red Wing Helm"
41	"Ancient Helm"
42	"Demonic Helm"
43	"Storm Blitz Helm"
44	"Eternal Wing Helm"
45	"Titan  Helm"
46	"Brave Helm"
49	"Seraphim Helm"
50	"Divine Helm"
51	"Royal Mask"
52	"Hades Helm"
53	"Succubus Helm"
54	"Lazy Wind Helm"
55	"Dark Devil Helm"
56	"Sticky Helm"
58	"Ambition Mask"
59	"Sacred Fire Helm"
60	"Storm Jahad Helm"
61	"Piercing Groove Helm"
62	"Scale Helm"
63	"Silk Helm"
64	"Sphinx Helm"
65	"Violent Wind Helm"
66	"Dark Soul Helm"
67	"Dragon Helm"
68	"Guardian Helm"
69	"Legendary Helm"
70	"Red Wing Helm"
72	"Storm Jahad Helm"
73	"Phoenix Soul Helmet"
74	"Stormwing Helm"
75	"Light Lord Helmet"
78	"Dragon Helm-J"
79	"Legendary Helm-J"
80	"Guardian Helm-J"
81	"Light Plate Mask-J"
82	"Red Wing Helm-J"
83	"Sacred Fire Helm-J"
91	"Robust Helmet"
92	"Gru hill Helmet"
93	"Princie Helmet"
94	"Hirat Helmet"
95	"Sate Helmet"
96	"Robust Helmet"
97	"Princie Helmet"
98	"Bloodangel Knight Helm"
99	"Bloodangel Wizard Helm"
100	"Bloodangel Elf Helm"
101	"Bloodangel Summoner Helm"
103	"Bloodangel Lord Helm"
104	"Bloodangel Fighter Helm"
105	"Bloodangel Lancer Helm"
114	"Bloodangel Knight Helm"
115	"Bloodangel Wizard Helm"
116	"Bloodangel Elf Helm"
117	"Bloodangel Summoner Helm"
119	"Bloodangel Lord Helm"
120	"Bloodangel Fighter Helm"
121	"Bloodangel Lancer Helm"
end

8
0	"Bronze Armor"
1	"Dragon Armor"
2	"Pad Armor"
3	"Legendary Armor"
4	"Bone Armor"
5	"Leather Armor"
6	"Scale Armor"
7	"Sphinx Armor"
8	"Brass Armor"
9	"Plate Armor"
10	"Vine Armor"
11	"Silk Armor"
12	"Wind Armor"
13	"Spirit Armor"
14	"Guardian Armor"
15	"Storm Crow Armor"
16	"Black Dragon Armor"
17	"Dark Phoenix Armor"
18	"Grand Soul Armor"
19	"Holy Spirit Armor"
20	"Thunder Hawk Armor"
21	"Great Dragon Armor"
22	"Dark Soul Armor"
23	"Hurricane Armor"
24	"Red Spirit Armor"
25	"Light Plate Armor"
26	"Adamantine Armor"
27	"Dark Steel Armor"
28	"Dark Master Armor"
29	"Dragon Knight Armor"
30	"Venom Mist Armor"
31	"Sylphid Ray Armor"
32	"Volcano Armor"
33	"Sunlight Armor"
34	"Ashcrow Armor"
35	"Eclipse Armor"
36	"Iris Armor"
37	"Valiant Armor"
38	"Glorious Armor"
39	"Violent Wind Armor"
40	"Red Wing Armor"
41	"Ancient Armor"
42	"Demonic Armor"
43	"Storm Blitz Armor"
44	"Eternal Wing Armor"
45	"Titan  Armor"
46	"Brave Armor"
47	"Phantom  Armor"
48	"Destroy Armor"
49	"Seraphim Armor"
50	"Divine Armor"
51	"Royal Armor"
52	"Hades Armor"
53	"Succubus Armor"
54	"Lazy Wind Armor"
55	"Dark Devil Armor"
56	"Sticky Armor"
57	"Hell Night Armor"
58	"Ambition Armor"
59	"Sacred Fire Armor"
60	"Storm Jahad Armor"
61	"Piercing Groove Armor"
62	"Scale Armor"
63	"Silk Armor"
64	"Sphinx Armor"
65	"Violent Wind Armor"
66	"Dark Soul Armor"
67	"Dragon Armor"
68	"Guardian Armor"
69	"Legendary Armor"
70	"Red Wing Armor"
71	"Atlans Armor"
72	"Storm Jahad Armor"
73	"Phoenix Soul Armor"
74	"Stormwing Armor"
75	"Light Lord Armor"
76	"Magic Knight Armor"
78	"Dragon Armor-J"
79	"Legendary Armor-J"
80	"Guardian Armor-J"
81	"Light Plate Armor-J"
82	"Red Wing Armor-J"
83	"Sacred Fire Armor-J"
91	"Robust Armor"
92	"Gru Hill Armor"
93	"Princie Armor"
94	"Hirat Armor"
95	"Sate Armor"
96	"Robust Armor"
97	"Princie Armor"
98	"Bloodangel Knight Armor"
99	"Bloodangel Wizard Armor"
100	"Bloodangel Elf Armor"
101	"Bloodangel Summoner Armor"
102	"Bloodangel Magic Armor"
103	"Bloodangel Lord Armor"
104	"Bloodangel Fighter Armor"
105	"Bloodangel Lancer Armor"
114	"Bloodangel Knight Armor"
115	"Bloodangel Wizard Armor"
116	"Bloodangel Elf Armor"
117	"Bloodangel Summoner Armor"
118	"Bloodangel Magic Armor"
119	"Bloodangel Lord Armor"
120	"Bloodangel Fighter Armor"
121	"Bloodangel Lancer Armor"
end

9
0	"Bronze Pants"
1	"Dragon Pants"
2	"Pad Pants"
3	"Legendary Pants"
4	"Bone Pants"
5	"Leather Pants"
6	"Scale Pants"
7	"Sphinx Pants"
8	"Brass Pants"
9	"Plate Pants"
10	"Vine Pants"
11	"Silk Pants"
12	"Wind Pants"
13	"Spirit Pants"
14	"Guardian Pants"
15	"Storm Crow Pants"
16	"Black Dragon Pants"
17	"Dark Phoenix Pants"
18	"Grand Soul Pants"
19	"Holy Spirit Pants"
20	"Thunder Hawk Pants"
21	"Great Dragon Pants"
22	"Dark Soul Pants"
23	"Hurricane Pants"
24	"Red Spirit Pants"
25	"Light Plate Pants"
26	"Adamantine Pants"
27	"Dark Steel Pants"
28	"Dark Master Pants"
29	"Dragon Knight Pants"
30	"Venom Mist Pants"
31	"Sylphid Ray Pants"
32	"Volcano Pants"
33	"Sunlight Pants"
34	"Ashcrow Pants"
35	"Eclipse Pants"
36	"Iris Pants"
37	"Valiant Pants"
38	"Glorious Pants"
39	"Violent Wind Pants"
40	"Red Wing Pants"
41	"Ancient Pants"
42	"Demonic Pants"
43	"Storm Blitz Pants"
44	"Eternal Wing Pants"
45	"Titan  Pants"
46	"Brave Pants"
47	"Phantom  Pants"
48	"Destroy Pants"
49	"Seraphim Pants"
50	"Divine Pants"
51	"Royal Pants"
52	"Hades Pants"
53	"Succubus Pants"
54	"Lazy Wind Pants"
55	"Dark Devil Pants"
56	"Sticky Pants"
57	"Hell Night Pants"
58	"Ambition Pants"
59	"Sacred Fire Pants"
60	"Storm Jahad Pants"
61	"Piercing Groove Pants"
62	"Scale Pants"
63	"Silk Pants"
64	"Sphinx Pants"
65	"Violent Wind Pants"
66	"Dark Soul Pants"
67	"Dragon Pants"
68	"Guardian Pants"
69	"Legendary Pants"
70	"Red Wing Pants"
71	"Atlans Pants"
72	"Storm Jahad Pants"
73	"Phoenix Soul Pants"
74	"Stormwing Pants"
75	"Light Lord Pants"
76	"Magic Knight Pants"
78	"Dragon Pants-J"
79	"Legendary Pants-J"
80	"Guardian Pants-J"
81	"Light Plate Pants-J"
82	"Red Wing Pants-J"
83	"Sacred Fire Pants-J"
91	"Robust Pants"
92	"Gru Hill Pants"
93	"Princie Pants"
94	"Hirat Pants"
95	"Sate Pants"
96	"Robust Pants"
97	"Princie Pants"
98	"Bloodangel Knight Pants"
99	"Bloodangel Wizard Pants"
100	"Bloodangel Elf Pants"
101	"Bloodangel Summoner Pants"
102	"Bloodangel Magic Pants"
103	"Bloodangel Lord Pants"
104	"Bloodangel Fighter Pants"
105	"Bloodangel Lancer Pants"
114	"Bloodangel Knight Pants"
115	"Bloodangel Wizard Pants"
116	"Bloodangel Elf Pants"
117	"Bloodangel Summoner Pants"
118	"Bloodangel Magic Pants"
119	"Bloodangel Lord Pants"
120	"Bloodangel Fighter Pants"
121	"Bloodangel Lancer Pants"
end

10
0	"Bronze Gloves"
1	"Dragon Gloves"
2	"Pad Gloves"
3	"Legendary Gloves"
4	"Bone Gloves"
5	"Leather Gloves"
6	"Scale Gloves"
7	"Sphinx Gloves"
8	"Brass Gloves"
9	"Plate Gloves"
10	"Vine Gloves"
11	"Silk Gloves"
12	"Wind Gloves"
13	"Spirit Gloves"
14	"Guardian Gloves"
15	"Storm Crow Gloves"
