[2023-03-14 20:37:20] Connection Closed, dwIoSize == 0 (Index:0)
[2023-03-14 07:49:25] IOCP Initialized... PORT [ 58970 ]
[2023-03-14 07:49:25] eJS Queue Thread Started
[2023-03-14 07:49:25] eJS Queue Initial Capacity is 100
[2023-03-14 07:49:25] MuOnlineJoinDB ODBC Connection Successfull!
[2023-03-14 07:49:25] MuOnline ODBC Connection Successfull!
[2023-03-14 07:49:25] LogHistoryDB ODBC Connection Successfull!
[2023-03-14 07:49:25] Max Server Connection 10
[2023-03-14 07:49:25] ME eJS Init Done
[2023-03-14 07:49:29] error-L2 : ServerIndex = -1
[2023-03-14 07:49:29] error-L2 : ServerIndex = -1
[2023-03-14 07:49:29] error-L2 : ServerIndex = -1
[2023-03-14 07:49:29] error-L2 : ServerIndex = -1
[2023-03-14 07:49:29] error-L2 : ServerIndex = -1
[2023-03-14 07:49:29] error-L2 : ServerIndex = -1
[2023-03-14 07:49:29] error-L2 : ServerIndex = -1
[2023-03-14 07:49:29] error-L2 : ServerIndex = -1
[2023-03-14 07:49:29] error-L2 : ServerIndex = -1
[2023-03-14 07:49:29] error-L2 : ServerIndex = -1
[2023-03-14 07:49:29] error-L2 : ServerIndex = -1
[2023-03-14 07:49:29] error-L2 : ServerIndex = -1
[2023-03-14 07:49:29] error-L2 : ServerIndex = -1
[2023-03-14 07:49:29] error-L2 : ServerIndex = -1
[2023-03-14 07:49:29] error-L2 : ServerIndex = -1
[2023-03-14 07:49:29] error-L2 : ServerIndex = -1
[2023-03-14 07:49:29] error-L2 : ServerIndex = -1
[2023-03-14 07:49:29] error-L2 : ServerIndex = -1
[2023-03-14 07:49:29] error-L2 : ServerIndex = -1
[2023-03-14 07:49:29] error-L2 : ServerIndex = -1
[2023-03-14 07:49:29] error-L2 : ServerIndex = -1
[2023-03-14 07:49:29] error-L2 : ServerIndex = -1
[2023-03-14 07:49:29] error-L2 : ServerIndex = -1
[2023-03-14 07:49:29] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
[2023-03-14 07:49:30] error-L2 : ServerIndex = -1
