//////////////////////////////////////////////////////////////////////////////////////												
// 파일명: 												
//	[ Start  ] 	2013. 09. 25										
//	[ Latest ]											
//	[ Author ]											
//	[ Version ]											
//	[ Text ]											
//	[ Desc ]	기존 아이템백 구조상에서 확장 컬럼 추가										
//////////////////////////////////////////////////////////////////////////////////////												
//												
// 												
// 드랍 젠 계산 방식 = 지정 젠 * MinLevel * MaxLevel 의 수치 만큼 젠 드랍 결정 [MinLevel <= MaxLevel] 항상 만족하도록 기술할 것!												
// 세트 아이템, 소켓 아이템 Slot 구조 추가												
// 												
// SetType: 반드시 ItemSettype 스크립트의 Link와 일치하도록 기술. Link a = 1, link b = 2, link c = 3, link d = 4												
//////////////////////////////////////////////////////////////////////////////////////												
//												
// *** 												
// *** SetType의 경우 국내와 중국 동일, 글로벌 및  기타 해외 국가 반드시 개별 확인 필요!!! (2013.12. 02 기준) 												
// ***												
//												
//////////////////////////////////////////////////////////////////////////////////////												
												
// SetOption:	0 = 랜덤, 1 = +5 옵션을 생성, 2 = +10 옵션을 생성											
												
// --SocketSlotCount												
//드롭가능맵 설정												
0												
//	MapIndex	Drop Flag	Min Monster Level	Max MonsterLevel								
	0	0	0	1000	//로랜시아							
	1	0	0	1000	//던전							
	2	0	0	1000	//데비아스							
	3	0	0	1000	//노리아							
	4	0	0	1000	//로스트타워							
	5	0	0	1000	//빈공간							
	6	0	0	1000	//경기장(배틀사커)							
	7	0	0	1000	//아틀란스							
	8	0	0	1000	//타르칸							
	9	0	0	1000	//악마의광장							
	10	0	0	1000	//이카루스							
end												
//드롭젠 및 아이템드롭 확률												
//이벤트아이템 드롭 확률은 EventItemDropRate/1000												
//아이템드롭 확률은 ItemDropRate/1000. ExItemDropRate/1000												
//확률/1000000												
												
												
1	//젠											
//	EventName	DropZen	EventItemType	EventItemIndex	EventItemLevel	EventItemDropRate	ItemDropRate	ExItemDropRate				
	"EvomonBox1"	10000	0	0	0	0	1000	0				
end												
6	//아이템 리스트											
// Probability	Type	Index	MinLevel	MaxLevel	Skill	LuckOption	AddOption	ExOption	SetType	SetOption	SocketSlotCount	
20000												
	14	22	0	0	0	0	0	0	0	0	0	//창조의보석
end												
30000												
	12	15	0	0	0	0	0	0	0	0	0	//혼돈의보석
end												
20000												
	14	14	0	0	0	0	0	0	0	0	0	//영혼의보석
end												
10000												
	14	16	0	0	0	0	0	0	0	0	0	//생명의보석
end												
10000												
	14	13	0	0	0	0	0	0	0	0	0	//축복의보석
end												
20000												
	14	42	0	0	0	0	0	0	0	0	0	//조화의보석
end												
550000												
	14	15	1	1	0	0	0	0	0	0	0	//1만젠
end												
340000												
	7	40	0	0	0	0	1	2	0	0	0	//레드윙헬멧
	8	40	0	0	0	0	1	2	0	0	0	//레드윙갑옷
	9	40	0	0	0	0	1	2	0	0	0	//레드윙바지
	10	40	0	0	0	0	1	2	0	0	0	//레드윙장갑
	11	40	0	0	0	0	1	2	0	0	0	//레드윙부츠
	7	10	0	0	0	0	1	2	0	0	0	//넝쿨헬멧
	8	10	0	0	0	0	1	2	0	0	0	//넝쿨갑옷
	9	10	0	0	0	0	1	2	0	0	0	//넝쿨바지
	10	10	0	0	0	0	1	2	0	0	0	//넝쿨장갑
	11	10	0	0	0	0	1	2	0	0	0	//넝쿨부츠
	7	9	0	0	0	0	1	2	0	0	0	//철판헬멧
	8	9	0	0	0	0	1	2	0	0	0	//철판갑옷
	9	9	0	0	0	0	1	2	0	0	0	//철판바지
	10	9	0	0	0	0	1	2	0	0	0	//철판장갑
	11	9	0	0	0	0	1	2	0	0	0	//철판부츠
	7	59	0	0	0	0	1	2	0	0	0	//세크리드파이어투구
	8	59	0	0	0	0	1	2	0	0	0	//세크리드파이어갑옷
	9	59	0	0	0	0	1	2	0	0	0	//세크리드파이어바지
	11	59	0	0	0	0	1	2	0	0	0	//세크리드파이어바지
	7	14	0	0	0	0	1	2	0	0	0	//수호헬멧
	8	14	0	0	0	0	1	2	0	0	0	//수호갑옷
	9	14	0	0	0	0	1	2	0	0	0	//수호바지
	10	14	0	0	0	0	1	2	0	0	0	//수호장갑
	11	14	0	0	0	0	1	2	0	0	0	//수호부츠
	7	26	0	0	0	0	1	2	0	0	0	//다크소울마스크
	8	26	0	0	0	0	1	2	0	0	0	//다크소울갑옷
	9	26	0	0	0	0	1	2	0	0	0	//다크소울바지
	10	26	0	0	0	0	1	2	0	0	0	//다크소울장갑
	11	26	0	0	0	0	1	2	0	0	0	//다크소울부츠
	7	1	0	0	0	0	1	2	0	0	0	//드라곤투구
	8	1	0	0	0	0	1	2	0	0	0	//드라곤갑옷
	9	1	0	0	0	0	1	2	0	0	0	//드라곤바지
	10	1	0	0	0	0	1	2	0	0	0	//드라곤장갑
	11	1	0	0	0	0	1	2	0	0	0	//드라곤부츠
	7	3	0	0	0	0	1	2	0	0	0	//전설의헬멧
	8	3	0	0	0	0	1	2	0	0	0	//전설의갑옷
	9	3	0	0	0	0	1	2	0	0	0	//전설의바지
	10	3	0	0	0	0	1	2	0	0	0	//전설의장갑
	11	3	0	0	0	0	1	2	0	0	0	//전설의부츠
	7	92	0	0	0	0	1	2	0	0	0	//전설의헬멧
	8	92	0	0	0	0	1	2	0	0	0	//전설의갑옷
	9	92	0	0	0	0	1	2	0	0	0	//전설의바지
	10	92	0	0	0	0	1	2	0	0	0	//전설의장갑
	11	92	0	0	0	0	1	2	0	0	0	//전설의부츠
end												
end												
												
