//Monester Configuration by CzF Team
//Credits to eRRoR, Cubars, Unicorn
//Version 1.02K

//Lorencia																								
//index 	rate	name	Level	HP	MP	damagemin	damagemax	defence	magicdefence	attackrating	successfulbloking	moverange 	attacktype	attackrange	viewrange	movespeed	attackspeed	regentime	attribute	itemrate	moneyrate	maxItemlevel	skill	µ¶	¾óÀ½	¹ø°³	ºÒ
3	1	"Spider"	2	30	0	4	7	1	0	8	1	2	0	1	5	400	1800	10	2	120	10	6	0	0	0	0	0
26	1	"Goblin"	3	45	0	7	10	2	0	13	2	2	0	1	4	400	1800	10	2	120	10	6	0	0	0	0	0
2	1	"Budge Dragon"	4	60	0	10	13	3	0	18	3	3	0	1	4	400	2000	10	2	120	10	6	0	0	0	0	0
27	1	"Scorpion"	5	80	0	13	17	4	0	23	4	3	0	1	4	400	1800	10	2	120	10	6	0	0	0	0	0
0	1	"Bull Fighter"	6	100	0	16	20	6	0	28	6	3	0	1	5	400	1600	10	2	130	10	6	0	0	0	0	0
33	1	"Elite Goblin"	8	120	0	19	23	8	0	33	8	3	0	1	5	400	1600	10	2	130	10	6	0	0	0	0	0
1	1	"Hound"	        9	140	0	22	27	9	0	39	9	3	0	1	5	400	1600	10	2	130	10	6	0	0	0	0	0
28	1	"BeetleMonster"	10	165	0	26	31	10	0	44	10	3	0	1	5	400	1600	10	2	140	10	6	0	0	0	0	0
4	1	"Elite Bull Fighter"	12	190	0	31	36	12	0	50	12	3	0	1	4	400	1400	10	2	140	12	6	0	0	0	0	0
29	1	"Hunter"	13	220	0	36	41	13	0	56	13	3	0	4	4	400	1600	10	2	140	12	6	0	0	0	0	0
6	1	"Lich"	        14	255	0	41	46	14	0	62	14	3	2	4	7	400	2000	10	2	150	12	6	0	0	0	0	1

//Noria
//Index	Rate	Name			Level	HP	MP	DamMin	DamMax	Defence	Magic	Attack	Success	MoveRg	A.Type	A.Range	V.Range	MoveSP	A.Speed	RegTime	Attrib	ItemRat	M.Rate	MaxItem	Skill
30	1	"Forest Monster"	15	295	0	46	51	15	0	68	15	3	0	1	4	400	1600	10	2	150	12	6	0	0	0	0	0
31	1	"Agon"	        16	340	0	51	57	16	0	74	16	2	0	1	4	400	1400	10	2	150	12	6	0	0	0	0	0
7	1	"Giant"	        17	400	0	57	62	18	0	80	18	2	0	2	3	400	2200	10	2	150	12	6	0	0	0	0	0
32	1	"Stone Golem"	18	465	0	62	68	20	0	86	20	2	0	2	3	400	2200	10	2	160	12	6	0	0	0	0	0

//Other Default Maps
//Index	Rate	Name			Level	HP	MP	DamMin	DamMax	Defence	Magic	Attack	Success	MoveRg	A.Type	A.Range	V.Range	MoveSP	A.Speed	RegTime	Attrib	ItemRat	M.Rate	MaxItem	Skill
14	1	"Skeleton"	19	525	0	68	74	22	0	93	22	2	0	1	4	400	1400	10	2	160	12	6	0	0	0	0	0
24	1	"Worm"	        20	600	0	75	80	25	0	100	25	3	0	1	4	400	1600	10	2	160	14	6	0	0	2	0	0
22	1	"Ice Monster"	22	650	0	80	85	27	0	110	27	2	7	1	5	400	2000	10	2	170	14	6	0	0	3	0	0
23	1	"Hommerd"	24	700	0	85	90	29	0	120	29	3	0	1	5	400	1600	10	2	170	14	6	0	0	3	0	0
12	1	"Larva"	        25	750	0	90	95	31	0	125	31	3	1	1	4	400	1800	10	2	200	14	6	0	2	0	0	0
21	1	"Assassin"	26	800	0	95	100	33	0	130	33	2	0	1	7	400	2000	10	2	180	14	6	0	0	0	0	0
17	1	"Cyclops"	28	850	0	100	105	35	0	140	35	3	0	1	4	400	1600	10	2	170	14	6	0	2	0	0	0
19	1	"Yeti"	        30	900	0	105	110	37	0	150	37	2	17	4	6	400	2000	10	2	180	14	6	0	0	3	0	0
11	1	"Ghost"	        32	1000	0	110	115	40	0	160	39	3	0	1	5	400	1400	10	2	190	14	6	0	2	2	2	2
15	1	"Skeleton Archery"	34	1100	0	115	120	45	0	170	41	2	0	5	7	400	2000	10	2	190	14	6	0	1	1	1	1
20	1	"Elite Yeti"	36	1200	0	120	125	50	0	180	43	3	0	1	6	400	1400	10	2	180	14	6	0	1	4	1	1
