//==============================================
//本文件桥石京QQ:19892965整理。
//活力七彩网络www.7clife.com 烟台娱乐第一站
//定做各种私服服务端,网页系统,企业建站,影视音乐系统制作联系QQ:19892965
//==============================================
//+1黄金宝箱 eventitembag8.txt
//Box +1
7 2 7 0  0 0 //Pad Helm
8 2 7 0  0 0 //Pad Armor
9 2 7 0  0 0 //Pad Pants
10 2 7 0  0 0 //Pad Gloves
11 2 7 0  0 0 //Pad Boots
0 0 0 0  1 0 //Kris
0 1 0 0  1 0 //Short Sword
0 2 0 0  1 0 //Rapier
1 0 0 0  1 0 //Small Axe
1 1 0 0  1 0 //Hand Axe
2 0 0 0  1 0 //Mace
3 0 0 0  1 0 //Light Spear
3 1 0 0  1 0 //Spear
4 1 0 0  1 0 //Bow
4 9 0 0  1 0 //Gold Crossbow
5 0 0 0  1 0 //Skull Staff
7 5 0  0 1 0 //Leather Helm
8 5 0  0 1 0 //Leather Armor
10 5 0  0 1 0 //Leather Gloves
9 5 0 0  1 0 //Leather Pants
11 5 0  0 1 0 //Leather Boots
7 10 0  0 1 0 //Vine Helm
8 10 0  0 1 0 //Vine Armor
9 10 0  0 1 0 //Vine Pants
10 10 0 0 1 0 //Vine Gloves
11 10 0 0 1 0 //Vine Boots



