//////////////////////////////////////////////////////////////////////////////////////																	
// EventItemBag 52																	
//	[ Start  ] 	2008.06.10															
//	[ Latest ]	2008-06-10 10:47 AM															
//	[ Author ]	이민정															
//	[ Version ]	0.0.0.1															
//	[ Text ]	세루판 이벤트 아이템백															
//	[ Desc ]	최초 작성															
//////////////////////////////////////////////////////////////////////////////////////																	
// 젠 드롭 확률은 아이템 드롭확률을 제외한 나머지 확률임																	
//드롭가능맵 설정																	
0																	
//	MapIndex	Drop Flag	Min Monster Level	Max MonsterLevel													
	0	0	0	1000	//로랜시아												
	1	0	0	1000	//던전												
	2	0	0	1000	//데비아스												
	3	0	0	1000	//노리아												
	4	0	0	1000	//로스트타워												
	5	0	0	1000	//빈공간												
	6	0	0	1000	//경기장(배틀사커)												
	7	0	0	1000	//아틀란스												
	8	0	0	1000	//타르칸												
	9	0	0	1000	//악마의광장												
	10	0	0	1000	//이카루스												
end																	
																	
//드롭젠 및 아이템드롭 확률																	
//이벤트아이템 드롭 확률은 EventItemDropRate/1000																	
//아이템드롭 확률은 ItemDropRate/100. ExItemDropRate/1000																	
1																	
//	EventName	DropZen	EventItemType	EventItemIndex	EventItemLevel	EventItemDropRate	ItemDropRate	ExItemDropRate									
	"Selupan_Drop"	0	0	0	0	0	100	1									
end																	
																	
//skill. luck. addtoption 의 값이 1이면 랜덤으로 적용. 0이면 적용안함 																	
// 확률값 내부에 확률 지정 카테고리 개수가 20개를 초과하면 안됨.																	
// 젠 드롭 확률 : 1-(n/10000) 의 확률																	
// 2-3 카테고리 내 확률이 총합 n/10000이 되어야함. (초과하면 안됨)																	
2																	
//	type	index	minLevel	maxLevel	skill	luck	addoption	exitemflag									
//2008년 7월 2일 ~																	
//획득확률 : 1000/10000																	
3000																	
//엑설런트 아이템류																	
	5	8	0	0	1	1	1	2	//파멸의지팡이								
	5	9	0	0	1	1	1	2	//드래곤소울지팡이								
	0	13	0	0	1	1	1	2	//더블블레이드								
	0	16	0	0	1	1	1	2	//파괴의검								
	0	31	0	0	1	1	1	2	//데스브로드								
	2	7	0	0	1	1	1	2	//엘리멘탈메이스								
	2	9	0	0	1	1	1	2	//마스터셉터								
	2	10	0	0	1	1	1	2	//그레이트셉터								
	2	10	0	0	1	1	1	2	//그레이트셉터								
	3	10	0	0	1	1	1	2	//드라곤스피어								
	4	16	0	0	1	1	1	2	//세인트크로스석궁								
	4	17	0	0	1	1	1	2	//홀리사이트보우								
	3	9	0	0	1	1	1	2	//발록의낫								
	4	14	0	0	1	1	1	2	//아쿠아골드석궁								
	4	16	0	0	1	1	1	2	//세인트크로스석궁								
