///////////////////////////////////////////////////////////////////////////////////////////////																		
//	[ Text Version ]	0.0.0.7																
//	[ Test Sever ver ]	-																
//	[ Main Sever ver ]	-																
//	[ Athor ]	이준희																
//	[ Data ]	2010-02-17 06:58 PM																
//	[ 내용 ]	신규 리뉴얼 몬스터 스킬 추가																
///////////////////////////////////////////////////////////////////////////////////////////////																		
//Index 	Name	Target	ScopeT	ScopeAngle	ScopeV	Delay(ms)	E0	E1	E2	E3	E4
0											
//아이다&크라이울프 공방전											
1	"선더브레이크"	1	0	-1	6	300	1	-1	-1	-1	-1
2	"블러디윈드"	1	0	-1	6	300	14	7	-1	-1	-1
3	"파이어레이"	1	0	-1	6	300	11	-1	-1	-1	-1
4	"참"	1	-1	-1	0	300	17	23	-1	-1	-1
5	"뱀파이어릭터치"	1	-1	-1	0	300	3	-1	-1	-1	-1
6	"다크엘프-그룹소환술"	2	-1	-1	6	300	16	-1	-1	-1	-1
7	"다크엘프-그룹치료"	2	-1	-1	6	300	13	-1	-1	-1	-1
8	"다크엘프-검기"	1	-1	-1	6	300	1	-1	-1	-1	-1
9	"발람-방향해제"	1	-1	-1	0	300	17	-1	-1	-1	-1
10	"데쓰-마나AG감소"	1	-1	-1	0	300	3	4	-1	-1	-1
11	"소람-밀어내기"	1	0	-1	6	300	7	-1	-1	-1	-1
12	"발가스-대지직격"	1	0	-1	6	300	7	1	17	-1	-1
13	"발가스-10자베기"	1	0	-1	6	300	7	1	1	-1	-1
											
//칸투르 일반몬스터											
14	"켄타우로스-멀티샷"	1	1	-1	6	300	24	-1	-1	-1	-1
15	"페르소나-악령"	1	0	-1	6	300	25	-1	-1	-1	-1
16	"트윈테일-머리칼공격"	1	-1	-1	0	300	26	27	-1	-1	-1
17	"드레드피어-2회베기"	1	-1	-1	0	300	28	-1	-1	-1	-1
											
//나이트메어											
18	"나이트메어-독공격"	1	-1	-1	0	300	29	30	-1	-1	-1
19	"나이트메어-돌개바람"	1	1	-1	6	300	31	-1	-1	-1	-1
20	"나이트메어-소환"	2	-1	-1	0	300	-1	-1	-1	-1	-1
21	"나이트메어-화염진"	1	0	-1	6	300	32	33	-1	-1	-1
22	"나이트메어-워프"	2	-1	-1	0	300	34	-1	-1	-1	-1
											
//마야											
23	"마야의손-프레셔"	1	0	-1	6	300	35	36	37	-1	-1
24	"마야의손-파워웨이브"	1	1	-1	6	300	38	-1	-1	-1	-1
25	"마야-아이스스톰"	1	-1	-1	6	300	39	40	-1	-1	-1
26	"마야-브로큰샤워"	1	-1	-1	6	300	41	42	-1	-1	-1
//신규이벤트맵											
27	"망령-스턴"	1	-1	-1	0	300	1	-1	-1	-1	-1
28	"망령-독"	1	-1	-1	0	300	8	1	-1	-1	-1
											
//라클리온											
29	"포효"	1	-1	-1	0	300	43	-1	-1	-1	-1
30	"짓밟기"	1	-1	-1	0	300	44	-1	-1	-1	-1
31	"분노의일격"	1	0	-1	2	300	45	-1	-1	-1	-1
32	"쿨러틴-독구슬"	1	-1	-1	0	300	46	-1	-1	-1	-1
33	"블로우"	1	-1	-1	0	300	47	-1	-1	-1	-1
34	"세루판-독구슬"	1	0	-1	6	300	48	-1	-1	-1	-1
35	"세루판-냉기폭풍"	1	0	-1	8	300	49	-1	-1	-1	-1
36	"세루판-냉기충격"	1	0	-1	6	300	50	-1	-1	-1	-1
37	"세루판-낙하"	1	0	-1	4	300	51	-1	-1	-1	-1
38	"세루판-소환"	2	-1	-1	0	300	52	-1	-1	-1	-1
39	"세루판-치료"	2	-1	-1	0	300	53	-1	-1	-1	-1
40	"세루판-얼리기"	1	-1	-1	0	300	54	-1	-1	-1	-1
41	"세루판-순간이동"	2	-1	-1	0	300	55	-1	-1	-1	-1
42	"세루판-무적"	2	-1	-1	0	300	56	-1	-1	-1	-1
43	"세루판-광폭화"	2	-1	-1	0	300	57	-1	-1	-1	-1
//Index 	Name	Target	ScopeT	ScopeAngle	ScopeV	Delay(ms)	E0	E1	E2	E3	E4
//제국 수호군 요새											
//제국 수호군 요새 일반 몬스터											
44	"방패병-방어"	5	-1	-1	0	300	58	-1	-1	-1	-1
45	"방패병-방패가격"	3	-1	-1	0	300	59	-1	-1	-1	-1
46	"치유병-치유"	4	-1	-1	0	300	60	-1	-1	-1	-1
//제국 수호군 요새 보스 몬스터											
47	"병참장교-스킬01"	1	0	-1	6	300	61	-1	-1	-1	-1
