// Text Ver. 0.0.0.6																		
// Version 1.04  - T서버																		
// Version 1.04  - M서버																		
// 최종 작업자 - 김서영																		
// 최종 작업일 -2008-02-28  2:07:32 PM																		
// 내용: 08년 발렌타인 이벤트(eventitembag26) 국내버전 리뉴얼																		
																		
//드롭가능맵 설정																		
0																		
//	MapIndex	Drop Flag	Min Monster Level	Max MonsterLevel														
	0	0	0	1000	//로랜시아													
	1	0	0	1000	//던전													
	2	0	0	1000	//데비아스													
	3	0	0	1000	//노리아													
	4	0	0	1000	//로스트타워													
	5	0	0	1000	//빈공간													
	6	0	0	1000	//경기장(배틀사커)													
	7	0	0	1000	//아틀란스													
	8	0	0	1000	//타르칸													
	9	0	0	1000	//악마의광장													
	10	0	0	1000	//이카루스													
end																		
																		
//드롭젠 및 아이템드롭 확률																		
//이벤트아이템 드롭 확률은 EventItemDropRate/1000																		
//아이템드롭 확률은 ItemDropRate/100. ExItemDropRate/1000																		
1																		
//	EventName	DropZen	EventItemType	EventItemIndex	EventItemLevel	EventItemDropRate	ItemDropRate	ExItemDropRate										
	"V_Blue"	90000	0	0	0	0	100	1										
end																		
																		
//skill. luck. addtoption 의 값이 1이면 랜덤으로 적용. 0이면 적용안함 																		
2																		
//	type	index	minLevel	maxLevel	skill	luck	addoption	exitemflag										
//2007년 2월 13일 ~ 2월 20일																		
//일반 무기류																		
	0	31	6	8	1	1	1	0	//데스브로드									
	2	11	6	8	1	1	1	0	//로드셉터									
	5	9	6	8	1	1	1	0	//드래곤소울지팡이									
	4	17	6	8	1	1	1	0	//홀리사이트보우									
	4	22	6	8	1	1	1	0	//알바트로스보우									
	0	20	5	7	1	1	1	0	//나이트블레이드									
	0	25	6	8	1	1	1	0	//소드댄서									
	5	13	6	8	1	1	1	0	//플라티나윙스태프									
	2	15	6	8	1	1	1	0	//샤이닝셉터									
//일반 방어구류																		
	7	17	6	8	0	1	1	0	//다크피닉스투구									
	8	17	6	8	0	1	1	0	//다크피닉스갑옷									
	9	17	6	8	0	1	1	0	//다크피닉스바지									
	10	17	6	8	0	1	1	0	//다크피닉스장갑									
	11	17	6	8	0	1	1	0	//다크피닉스부츠									
	7	24	6	8	0	1	1	0	//레드스피릿헬멧									
	8	24	6	8	0	1	1	0	//레드스피릿갑옷									
	9	24	6	8	0	1	1	0	//레드스피릿바지									
	10	24	6	8	0	1	1	0	//레드스피릿장갑									
	11	24	6	8	0	1	1	0	//레드스피릿부츠									
	8	37	6	8	0	1	1	0	//발리언트갑옷									
	9	37	6	8	0	1	1	0	//발리언트바지									
	10	37	6	8	0	1	1	0	//발리언트장갑									
