//////////////////////////////////////////////////////////////////////////////////////											
// EventItemBag 163- [이벤트]상급상자(14/ 376)					기본	기본	총합계				
//	[ Start  ] 	2016-05-20			1000000	0	100%				
//	[ Latest ]										
//	[ Author ]	최유진									
//	[ Version ]	0.0.0.1									
//	[ Text ]	폭탄찾기(상급상자)									
//	[ Desc ]	최초 작성									
//////////////////////////////////////////////////////////////////////////////////////											
// 젠 드롭 확률은 아이템 드롭확률을 제외한 나머지 확률임											
//드롭가능맵 설정											
0											
//	MapIndex	Drop Flag	Min Monster Level	Max MonsterLevel							
	0	0	0	0							
end											
											
//드롭젠 및 아이템드롭 확률											
//이벤트아이템 드롭 확률은 EventItemDropRate/1000											
//아이템드롭 확률은 ItemDropRate/100. ExItemDropRate/1000											
1											
//	EventName	DropZen	EventItemType	EventItemIndex	EventItemLevel	EventItemDropRate	ItemDropRate	ExItemDropRate			
	"bomb"	150000 	0	0	0	0	100	1			
end											
											
//skill. luck. addtoption 의 값이 1이면 랜덤으로 적용. 0이면 적용안함 											
5											
//	type	index	minLevel	maxLevel	skill	luck	addoption	exitemflag	DropCnt	Attribute	
//획득확률 : 170000/1000000											
170000											
//보석류(10)											
	12	136	0	0	0	0	0	0	0	0	//생명의보석묶음(10)
	12	30	0	0	0	0	0	0	0	0	//축복의보석묶음(10)
	12	31	0	0	0	0	0	0	0	0	//영혼의보석묶음(10)
	12	140	0	0	0	0	0	0	0	0	//조화의보석묶음(10)
	12	141	0	0	0	0	0	0	0	0	//혼돈의보석묶음(10)
	12	137	0	0	0	0	0	0	0	0	//창조의보석묶음(10)
end											
//획득확률 : 70000/1000000											
70000											
//보석류(20)											
	12	136	1	1	0	0	0	0	0	0	//생명의보석묶음(20)
	12	30	1	1	0	0	0	0	0	0	//축복의보석묶음(20)
	12	31	1	1	0	0	0	0	0	0	//영혼의보석묶음(20)
	12	140	1	1	0	0	0	0	0	0	//조화의보석묶음(20)
	12	141	1	1	0	0	0	0	0	0	//혼돈의보석묶음(20)
	12	137	1	1	0	0	0	0	0	0	//창조의보석묶음(20)
end											
//획득확률 : 100000/1000000											
100000											
//엑설런트 방어구류											
	8	15	0	0	0	1	1	3	0	0	//아틀란스갑옷
	9	15	0	0	0	1	1	3	0	0	//아틀란스바지
	10	15	0	0	0	1	1	3	0	0	//아틀란스장갑
	11	15	0	0	0	1	1	3	0	0	//아틀란스부츠
	7	16	0	0	0	1	1	3	0	0	//블랙드라곤투구
	8	16	0	0	0	1	1	3	0	0	//블랙드라곤갑옷
	9	16	0	0	0	1	1	3	0	0	//블랙드라곤바지
	10	16	0	0	0	1	1	3	0	0	//블랙드라곤장갑
	11	16	0	0	0	1	1	3	0	0	//블랙드라곤부츠
	7	18	0	0	0	1	1	3	0	0	//그랜드소울헬멧
	8	18	0	0	0	1	1	3	0	0	//그랜드소울갑옷
