//############################################
// POWERED BY MU ENGINE                                    //
//                    WWW.MUENGINE.ORG                      //
//###########################################

//旨收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收旬
//早 Box Of Kundun +1 Drop Settings                                               早
//曲收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收旭					
1
//	EventName	                  DropZen	EventItemType	EventItemIndex	EventItemLevel	EventItemDropRate	ItemDropRate	ExItemDropRate											
	"Box Of Kundun +1"	0	0	                  0	0	0	                  100	                                                      500											
end
// | Type | Index | MinLevel | MaxLevel | Skill | Luck | Option | Excellent |	

10
//type	index	min-lvl	max-lvl		skill-rate	luck-rate	add	exc1-rate	exc2-rate	exc3-rate	arka-only
10000	
																		
0	1	0	0	60	40	0	100	60	20	0 //"Short Sword"		
0	0	0	0	60	40	0	100	60	20	0 //"Kris"				
0	2	0	0	60	40	0	100	60	20	0 //"Rapier"			
0	4	0	0	60	40	0	100	60	20	0 //"Sword of Assassin"		
0	3	0	0	60	40	0	100	60	20	0 //"Katana"		  	
0	6	0	0	60	40	0	100	60	20	0 //"Gladius"		

1	0	0	0	60	40	0	100	60	20	0 //"Small Axe"				
1	1	0	0	60	40	0	100	60	20	0 //"Hand Axe"				
1	2	0	0	60	40	0	100	60	20	0 //"Double Axe"			
1	3	0	0	60	40	0	100	60	20	0 //"Tomahawk"			

2	0	0	0	60	40	0	100	60	20	0 //"Mace"				
2	1	0	0	60	40	0	100	60	20	0 //"Morning Star"		

3	5	0	0	60	40	0	100	60	20	0 //"Double Poleaxe"		
3	2	0	0	60	40	0	100	60	20	0 //"Dragon Lance"		
3	6	0	0	60	40	0	100	60	20	0 //"Halberd"			

4	0	0	0	60	40	0	100	60	20	0 //"Short Bow"				
4	8	0	0	60	40	0	100	60	20	0 //"Crossbow"			
4	1	0	0	60	40	0	100	60	20	0 //"Bow"				
4	9	0	0	60	40	0	100	60	20	0 //"Golden Crossbow"			
4	2	0	0	60	40	0	100	60	20	0 //"Elven Bow"			
4	10	0	0	60	40	0	100	60	20	0 //"Arquebus"			

5	0	0	0	60	40	0	100	60	20	0 //"Skull Staff"		
5	1	0	0	60	40	0	100	60	20	0 //"Angelic Staff"		

6	0	0	0	60	40	0	100	60	20	0 //"Small Shield"		
6	4	0	0	60	40	0	100	60	20	0 //"Buckler"			
6	1	0	0	60	40	0	100	60	20	0 //"Horn Shield"			
6	2	0	0	60	40	0	100	60	20	0 //"Kite Shield"		
6	6	0	0	60	40	0	100	60	20	0 //"Skull Shield"		
6	10	0	0	60	40	0	100	60	20	0 //"Large Round Shield"	

7	2	0	0	60	40	0	100	60	20	0 //"Pad Helm"			
7	5	0	0	60	40	0	100	60	20	0 //"Leather Helm"		
7	10	0	0	60	40	0	100	60	20	0 //"Vine Helm"			
7	0	0	0	60	40	0	100	60	20	0 //"Bronze Helm"			
7	11	0	0	60	40	0	100	60	20	0 //"Silk Helm"			
7	4	0	0	60	40	0	100	60	20	0 //"Bone Helm"			

8	2	0	0	60	40	0	100	60	20	0 //"Pad Armor"			
8	5	0	0	60	40	0	100	60	20	0 //"Leather Armor"		
8	10	0	0	60	40	0	100	60	20	0 //"Vine Armor"		
8	0	0	0	60	40	0	100	60	20	0 //"Bronze Armor"			
8	11	0	0	60	40	0	100	60	20	0 //"Silk Armor"		

9	5	0	0	60	40	0	100	60	20	0 //"Leather Pants"		
9	2	0	0	60	40	0	100	60	20	0 //"Pad Pants"			
9	10	0	0	60	40	0	100	60	20	0 //"Vine Pants"		
9	0	0	0	60	40	0	100	60	20	0 //"Bronze Pants"		
9	11	0	0	60	40	0	100	60	20	0 //"Silk Pants"			
9	4	0	0	60	40	0	100	60	20	0 //"Bone Pants"		

10	2	0	0	60	40	0	100	60	20	0 //"Pad Gloves"		
10	5	0	0	60	40	0	100	60	20	0 //"Leather Gloves"		
10	10	0	0	60	40	0	100	60	20	0 //"Vine Gloves"		
10	0	0	0	60	40	0	100	60	20	0 //"Bronze Gloves"		
10	11	0	0	60	40	0	100	60	20	0 //"Silk Gloves"		
10	4	0	0	60	40	0	100	60	20	0 //"Bone Gloves"		

11	2	0	0	60	40	0	100	60	20	0 //"Pad Boots"			
11	5	0	0	60	40	0	100	60	20	0 //"Leather Boots"		
11	10	0	0	60	40	0	100	60	20	0 //"Vine Boots"		
11	0	0	0	60	40	0	100	60	20	0 //"Bronze Boots"		
11	11	0	0	60	40	0	100	60	20	0 //"Silk Boots"		
11	4	0	0	60	40	0	100	60	20	0 //"Bone Boots"		

13	13	0	0	60	40	2	100	60	20	0 //"Pendant of Fire"			
13	9	0	0	60	40	2	100	60	20	0 //"Ring of Poison"		
13	8	0	0	60	40	2	100	60	20	0 //"Ring of Ice"
13	12	0	0	60	40	2	100	60	20	0 //"Pendant of Lighting"		
13	21	0	0	60	40	2	100	60	20	0 //"Ring of Fire"		
13	25	0	0	60	40	2	100	60	20	0 //"Pendant of Ice"
13	22	0	0	60	40	2	100	60	20	0 //"Ring of Earth"		
13	26	0	0	60	40	2	100	60	20	0 //"Pendant of Wind"		
13	23	0	0	60	40	2	100	60	20	0 //"Ring of Wind"			
13	27	0	0	60	40	2	100	60	20	0 //"Pendant of Water"	
13	24	0	0	60	40	2	100	60	20	0 //"Ring of Magic"			
13	28	0	0	60	40	2	100	60	20	0 //"Pendant of Ability"
end
end
