// Shining Jewelry Case Item Bag - Max 100 Lines
/----------------------------------------------------------------------------------------
|	Type	Index	Level	Luck	Skill	Option	MaxExc	ExcOptFixed
/----------------------------------------------------------------------------------------
	14	14	0	0	0	0	0	0
	12	15	0	0	0	0	0	0
	14	16	0	0	0	0	0	0
	14	22	0	0	0	0	0	0
	16	0	0	0	0	0	0	0
	16	2	0	0	0	0	0	0
	16	6	0	0	0	0	0	0
	16	8	0	0	0	0	0	0
	16	10	0	0	0	0	0	0
	16	12	0	0	0	0	0	0
	14	14	0	0	0	0	0	0
	12	15	0	0	0	0	0	0
	14	16	0	0	0	0	0	0
	14	22	0	0	0	0	0	0
	16	14	0	0	0	0	0	0
	16	16	0	0	0	0	0	0
	16	18	0	0	0	0	0	0
	16	20	0	0	0	0	0	0
	16	22	0	0	0	0	0	0
	16	24	0	0	0	0	0	0
	16	26	0	0	0	0	0	0
	16	28	0	0	0	0	0	0
	14	14	0	0	0	0	0	0
	12	15	0	0	0	0	0	0
	14	263	0	0	0	0	0	0
	14	264	0	0	0	0	0	0
	14	14	0	0	0	0	0	0
	12	15	0	0	0	0	0	0
	14	16	0	0	0	0	0	0
	14	22	0	0	0	0	0	0
	14	342	0	0	0	0	0	0
	14	14	0	0	0	0	0	0
	12	15	0	0	0	0	0	0
	14	16	0	0	0	0	0	0
	14	22	0	0	0	0	0	0
	14	14	0	0	0	0	0	0
	12	15	0	0	0	0	0	0
	14	16	0	0	0	0	0	0
	14	336	0	0	0	0	0	0
	14	22	0	0	0	0	0	0
	14	282	0	0	0	0	0	0
	14	283	0	0	0	0	0	0
	14	284	0	0	0	0	0	0
	14	263	0	0	0	0	0	0
	14	264	0	0	0	0	0	0
	14	14	0	0	0	0	0	0
	12	15	0	0	0	0	0	0
	14	16	0	0	0	0	0	0
	14	22	0	0	0	0	0	0
	14	269	0	0	0	0	0	0
	14	273	0	0	0	0	0	0
	14	309	0	0	0	0	0	0
	14	310	0	0	0	0	0	0
	14	311	0	0	0	0	0	0
	14	312	0	0	0	0	0	0
	14	14	0	0	0	0	0	0
	12	15	0	0	0	0	0	0
	14	16	0	0	0	0	0	0
	14	22	0	0	0	0	0	0
	14	14	0	0	0	0	0	0
	12	15	0	0	0	0	0	0
	14	16	0	0	0	0	0	0
	14	22	0	0	0	0	0	0
	14	16	0	0	0	0	0	0
	14	22	0	0	0	0	0	0
	14	269	0	0	0	0	0	0
	14	273	0	0	0	0	0	0
	14	14	0	0	0	0	0	0
	12	15	0	0	0	0	0	0
	14	16	0	0	0	0	0	0
	14	22	0	0	0	0	0	0
	16	0	0	0	0	0	0	0
	16	2	0	0	0	0	0	0
	16	6	0	0	0	0	0	0
	16	8	0	0	0	0	0	0
	16	10	0	0	0	0	0	0
	16	12	0	0	0	0	0	0
	14	14	0	0	0	0	0	0
	12	15	0	0	0	0	0	0
	14	16	0	0	0	0	0	0
	14	22	0	0	0	0	0	0
	16	0	0	0	0	0	0	0
	16	2	0	0	0	0	0	0
	16	6	0	0	0	0	0	0
	16	8	0	0	0	0	0	0
	16	10	0	0	0	0	0	0
	16	12	0	0	0	0	0	0
	14	310	0	0	0	0	0	0
	14	311	0	0	0	0	0	0
	14	312	0	0	0	0	0	0
	14	14	0	0	0	0	0	0
	12	15	0	0	0	0	0	0
	14	16	0	0	0	0	0	0
	14	22	0	0	0	0	0	0
	14	14	0	0	0	0	0	0
	14	310	0	0	0	0	0	0
	14	312	0	0	0	0	0	0
	14	14	0	0	0	0	0	0
	12	15	0	0	0	0	0	0
	14	16	0	0	0	0	0	0
	14	22	0	0	0	0	0	0
