//############################################
// POWERED BY MU ENGINE                                    //
//                    WWW.MUENGINE.ORG                      //
//###########################################

// ExcOptFixed :
// 1 - Will Drop The Exact Number Of (Random) Exc Option You Set in MaxExc
// 0 - Will Drop Random Number Of Exc Options Between 0 And Number You Set in MaxExc

// Silver Box Rare Item Bag - Max 100 Lines
/----------------------------------------------------------------------------
|	Type	Index	Level	Luck	Skill	Option	MaxExc	ExcOptFixed
/----------------------------------------------------------------------------// exc
	5	33	0	0	0	0	1	0
	5	34	0	0	0	0	1	0
	2	18	0	0	0	0	1	0
	3	11	0	0	0	0	1	0
	3	15	0	0	1	0	1	0
	3	16	0	0	1	0	1	0
	3	15	0	1	1	0	1	0
	3	16	0	1	1	0	1	0
	4	24	0	0	0	0	1	0
	12	141	0	0	0	0	0	0
	12	139	0	0	0	0	0	0
	12	142	0	0	0	0	0	0
// none exc
	2	18	7	1	1	0	0	0
	3	11	7	1	1	0	0	0
	4	24	7	1	1	0	0	0
	5	33	7	1	0	0	0	0
	5	34	7	1	0	0	0	0
	2	18	7	0	1	0	0	0
	3	11	7	0	1	0	0	0
	4	24	7	0	1	0	0	0
	5	33	7	0	0	0	0	0
	5	34	7	0	0	0	0	0
	2	18	7	0	0	0	0	0
	3	11	7	0	0	0	0	0
	4	24	7	0	0	0	0	0
	2	18	7	1	0	0	0	0
	3	11	7	1	0	0	0	0
	4	24	7	1	0	0	0	0
