//////////////////////////////////////////////////////////////////////////////////////																													
//	[ Latest ]		42416 																										
//	[ Author ]		사재일																										
//	[ Version ]		0.0.1.1																										
//	[ Text ]		옵션 생성확률 기재																										
//////////////////////////////////////////////////////////////////////////////////////																													
0 																													
// 시드 옵션					스피어 레벨별 증가수치																								
// 고유번호	속성	레벨	이름	수치타입	1레벨	2레벨	3레벨	4레벨	5레벨	6레벨	7레벨	8레벨	9레벨	10레벨	11레벨	12레벨	13레벨	14레벨	15레벨	16레벨	17레벨	18레벨	19레벨	20레벨	추출가중치		옵션 생성 확률	서버전용필드	
// 1. 불(Fire) 공격강화 (0~8)																												클라전용필드	
0 	1 	0 	"20레벨당공격력/마력증가"	3 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	22 	24 	27 	30 	33 	37 	41 	45 	50 	60 	5 	//	0.93%		
1 	1 	1 	"공격속도증가"	1 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	15 	//	2.79%		
2 	1 	2 	"최대공격력/마력증가"	1 	30 	32 	35 	40 	45 	50 	55 	61 	67 	73 	83 	93 	103 	113 	123 	136 	149 	162 	175 	188 	28 	//	5.21%		
3 	1 	3 	"최소공격력/마력증가"	1 	20 	22 	25 	30 	35 	40 	45 	51 	57 	63 	73 	83 	93 	103 	113 	126 	139 	152 	165 	178 	28 	//	5.21%		
4 	1 	4 	"공격력/마력증가"	1 	20 	22 	25 	30 	35 	40 	45 	51 	57 	63 	73 	83 	93 	103 	113 	126 	139 	152 	165 	178 	12 	//	2.23%		
5 	1 	5 	"AG소모량감소"	2 	40 	41 	42 	43 	44 	45 	46 	47 	48 	49 	50 	51 	52 	53 	54 	55 	56 	57 	58 	59 	5 	//	0.93%		
//6	1 	6 	"신규옵션(불) 6"																										
//7	1 	7 	"신규옵션(불) 7"																										
//8	1 	8 	"신규옵션(불) 8"																										
//9	2 	5 	"신규옵션(불) 9"																										
// 2. 물(Water) 방어강화 (9~15, 41)																													
10 	2 	0 	"방어성공율증가"	2 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	30 	//	5.59%		
11 	2 	1 	"방어력증가"	1 	30 	33 	36 	39 	41 	44 	47 	51 	55 	60 	65 	71 	77 	84 	91 	99 	107 	116 	125 	135 	15 	//	2.79%		
12 	2 	2 	"방패방어력증가"	2 	100 	150 	250 	300 	350 	400 	450 	500 	550 	600 	650 	700 	750 	800 	850 	900 	950 	1000 	1050 	1100 	12 	//	2.23%		
13 	2 	3 	"데미지감소"	2 	4 	5 	6 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	5 	//	0.93%		
14 	2 	4 	"데미지반사"	2 	5 	6 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	28 	//	5.21%		
//15	2 	6 	"신규옵션(물) 15"																										
// 3. 얼음(Ice) 무기강화 (16~20, 42~44)																													
16 	3 	0 	"몬스터사망시생명증가"	1 	250 	280 	310 	340 	372 	404 	436 	471 	506 	541 	578 	615 	652 	689 	726 	766 	806 	846 	886 	926 	12 	//	2.23%		
17 	3 	1 	"몬스터사망시마나증가"	1 	400 	450 	500 	550 	601 	652 	703 	755 	807 	859 	914 	969 	1024 	1079 	1134 	1191 	1248 	1305 	1362 	1419 	15 	//	2.79%		
18 	3 	2 	"스킬공격력증가"	1 	37 	40 	45 	50 	57 	64 	71 	80 	89 	100 	113 	126 	139 	152 	165 	180 	195 	210 	225 	240 	5 	//	0.93%		
19 	3 	3 	"공격성공율증가"	1 	25 	27 	30 	35 	42 	49 	56 	65 	74 	83 	94 	105 	116 	127 	138 	153 	168 	186 	204 	222 	28 	//	5.21%		
