////////////////////////////////////////////////////////////////////////////////																																																				
//	1.2.7.2	1.2.7.2																																					데미지 구분		타겟 대상	타겟 영역	사거리 내 장애물	타겟 쫓기	탈것 체크	장비 체크	데미지 스탯1	스탯 나눔값2	데미지 스탯2			
//	사재일	사재일																																																		
//	2016-07-18 11:32 AM	2016-07-18 11:32 AM																																																		
//	Season12 P.1 신스킬 아이템 추가	Season12 P.1 신스킬 아이템 추가													SkilluseType																																					
////////////////////////////////////////////////////////////////////////////////																																																				
//속성1 - 펜타그램 속성과 동일 [0(없음). 1(불). 2(물). 3(땅). 4(바람). 5(암흑)]																																																				
//속성2 [-1(없음). 0(물리). 1(마법)]																																																				
// SkillBrand [특정 스킬이 있어야지만 사용이 가능]. 마스터레벨의 경우 액티브 강화 스킬은 선행스킬 조건을 같은 스킬로 넣어야함																																																				
// SkillUsetype [0(일반스킬). 1(직책스킬). 3(마스터레벨:패시브). 4(마스터레벨:액티브), 5(이벤트 맵 스킬/스킬각인UI에서 표시되지 않음), 6(캐릭터 사용불가스킬/스킬각인UI에서 표시되지 않음)]																																																				
// 스킬 타입 : [0(일반스킬). 1(버프:아군에게 이로운 효과). 2(디버프:적군에게 해로운 효과). 3(치료:대상을 회복시킴)]																																																				
// 일반스킬 : 0 ~ 299 Index																																																				
// 마스터스킬트리 (3차전직) : 300 ~ 1000 Index  - 신스킬(723 ~ 742 Index 의 경우 일반스킬이나 예외처리 됨																																																				
// 스킬강화트리 (4차전직) : 1001 ~ Index																																																				
//번호	Name	레벨	데미지	사용마나량	어빌리티	거리	Delay	ReqEng	ReqStr	ReqDex	ReqCha	ReqHea	속성1	속성2	SkilluseType	SkillBrand	KillCout	길마	부길마	베틀마스터	흑마법사	흑기사	요정	마검사	다크로드	소환술사	레이지파이터	그로우랜서		스킬랭크	스킬그룹	필요마스터레벨포인트	소모체력	소모SD	지속시간	아이콘번호	스킬 타입	무기 스킬	데미지 구분	버프 인덱스	타겟 대상	타겟 영역	사거리 내 장애물	타겟 쫓기	탈것 체크	장비 체크	데미지 스탯1	스탯 나눔값2	데미지 스탯2	스탯 나눔값2	속성 각인 가중치	추가 데미지 효과
17	"Energy Ball"	2	3	1	0	6	0	0	0	0	0	0	4	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	17	0	0	2	0	0	0	0	0	0	0	3	30	-1	-1	200	0
4	"Fire Ball"	5	8	3	0	6	0	40	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	3	30	-1	-1	197	0
11	"Power Wave"	9	14	5	0	6	0	56	0	0	0	0	4	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	11	0	0	2	0	0	0	0	0	0	0	3	30	-1	-1	195	0
3	"Lightning"	13	17	15	0	6	0	72	0	0	0	0	4	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	3	40	-1	-1	180	0
6	"Teleport"	17	0	30	0	6	0	88	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	2	1	0	0	-1	-1	-1	-1	100	0
2	"Meteorite"	21	21	12	0	6	0	104	0	0	0	0	3	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	3	45	-1	-1	190	0
7	"Ice"	25	10	38	0	6	0	120	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	7	0	0	2	0	0	0	0	0	0	0	3	45	-1	-1	150	0
1	"Poison"	30	12	42	0	6	0	140	0	0	0	0	5	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	3	50	-1	-1	150	0
5	"Flame"	35	25	50	0	6	0	160	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	5	0	0	2	0	1	0	0	0	0	0	3	100	-1	-1	120	0
8	"Twister"	40	35	60	0	6	0	180	0	0	0	0	4	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	8	0	0	2	0	1	0	0	0	0	0	3	90	-1	-1	140	0
