/////////////////////////////////////////////////////////////////////////////////////////											
//	[Text Ver]	0.0.1.5									
//	[작업자]	사재일									
//	[작업일]	2013-12-07 11:48									
//	[작업 내용]	엘린추가									
/////////////////////////////////////////////////////////////////////////////////////////											


											
// NPC											
//Index	MapIndex	NpcIndex	X위치	Y위치	tag	visible	NAME				
0											
//로랜시장											
0	79	719	186	93	2	1	"Archangel's Spirit"				
1	79	720	221	95	2	1	"Charon"				
2	79	721	234	30	2	1	"Jernit the Assistant"				
3	79	723	168	57	2	1	"Rugard"				
4	79	722	188	21	2	1	"Mirage"				
5	79	547	209	75	2	1	"Julia"				
6	79	725	217	62	2	1	"Priest James"				
//로랜시아											
0	0	226	122	110	2	1	"Trainer"				
1	0	230	62	130	4	1	"Wandering Merchant Alex"				
2	0	250	183	137	4	1	"Wandering Merchant"				
3	0	253	127	86	4	1	"Potion Girl Amy"				
4	0	251	116	141	3	1	"Hanzo the Blacksmith"				
5	0	255	123	135	4	1	"Lumen the Barmaid"				
6	0	254	118	113	4	1	"Pasi the Mage"				
7	0	547	139	138	2	1	"Market Union Member Julia"				
8	0	240	146	110	5	1	"Baz The Vault Keeper"				
9	0	257	96	129	1	1	"Shadow Phantom Soldier"				
10	0	257	132	165	1	1	"Shadow Phantom Soldier"				
11	0	257	132	90	1	1	"Shadow Phantom Soldier"				
12	0	257	170	129	1	1	"Shadow Phantom Soldier"				
13	0	543	144	127	2	1	"Gens Duprian Steward"				
//14	0	375			2	1	"카오스카드마스터"				
15	0	240	147	145	5	1	"Baz The Vault Keeper"				
16	0	584	114	132	2	1	"Sir Lesnar"				
//17	0	568	0	0	2	2	"Wandering Merchant Zyro"				
18	0	229	137	87	2	2	"Marlon"				
19	0	231	124	145	2	2	"Thompson"				
20	0	479	131	134	2	1	"Doorkeeper Titus"				
21	0	236	175	120	2	1	"Golden Archer"	
22	0	669	139	135	2	1	"Ellin"
// 데비아스											
0	2	233	209	30	2	1	"Messenger of Archangel"				
