////////////////////////////////////////////////////////																															
// text ver. 1.0.0.1																															
// version 1.01  - T서버																															
// version 1.01  - M서버																															
// 최종작업자 - 김성준																															
// 최종작업일 - 오후 03:49 2006-08-18																															
// 내용 - 밸런스 변경(각 옵션들의 수치 상승 조정)																															
////////////////////////////////////////////////////////																															
// 주의 - 최소레벨, lv0~lv13 값의 범위는 0~255																															
// 주의2 - 방어구류의 생명력 자동 증가량 상승은 반드시 강화옵션 이외의 기본 옵션으로 자생옵이 있어야 발동됨																															

// 옵션 타입	옵션 이름	가중치	최소레벨	lv0	rzen0	lv1	rzen1	lv2	rzen2	lv3	rzen3	lv4	rzen4	lv5	rzen5	lv6	rzen6	lv7	rzen7	lv8	rzen8	lv9	rzen9	lv10	rzen10	lv11	rzen11	lv12	rzen12	lv13	rzen13
1	// 무기류																														
1	"최소 공격력 상승"	40	0	2	100000	3	110000	4	120000	5	130000	6	140000	7	150000	9	200000	11	220000	12	240000	14	280000	15	320000	16	360000	17	400000	20	500000
2	"최대 공격력 상승"	40	0	3	100000	4	110000	5	120000	6	130000	7	140000	8	150000	10	200000	12	220000	14	240000	17	280000	20	320000	23	360000	26	400000	29	500000
3	"필요 힘 감소"	40	0	6	100000	8	110000	10	120000	12	130000	14	140000	16	150000	20	200000	23	220000	26	240000	29	280000	32	320000	35	360000	37	400000	40	500000
4	"필요 민첩 감소"	40	0	6	100000	8	110000	10	120000	12	130000	14	140000	16	150000	20	200000	23	220000	26	240000	29	280000	32	320000	35	360000	37	400000	40	500000
5	"공격력 상승(최소, 최대)"	30	6	0	0	0	0	0	0	0	0	0	0	0	0	7	200000	8	220000	9	240000	11	280000	12	320000	14	360000	16	400000	19	500000
6	"크리티컬 데미지 상승"	30	6	0	0	0	0	0	0	0	0	0	0	0	0	12	200000	14	220000	16	240000	18	280000	20	320000	22	360000	24	400000	30	500000
7	"스킬 공격력 상승"	20	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	280000	14	320000	16	360000	18	400000	22	500000
8	"공격 성공률 상승(PVP)"	20	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	280000	7	320000	9	360000	11	400000	14	500000
9	"SD 감소율 상승"	20	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	280000	5	320000	7	360000	9	400000	10	500000
10	"공격시 SD 무시 확률 상승"	10	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	500000
end																															
2	// 지팡이류																														
1	"마력 상승"	40	0	6	100000	8	110000	10	120000	12	130000	14	140000	16	150000	17	200000	18	220000	19	240000	21	280000	23	320000	25	360000	27	400000	31	500000
2	"필요 힘 감소"	40	0	6	100000	8	110000	10	120000	12	130000	14	140000	16	150000	20	200000	23	220000	26	240000	29	280000	32	320000	35	360000	37	400000	40	500000
3	"필요 민첩 감소"	40	0	6	100000	8	110000	10	120000	12	130000	14	140000	16	150000	20	200000	23	220000	26	240000	29	280000	32	320000	35	360000	37	400000	40	500000
4	"스킬 공격력 상승"	30	6	0	0	0	0	0	0	0	0	0	0	0	0	7	200000	10	220000	13	240000	16	280000	19	320000	22	360000	25	400000	30	500000
5	"크리티컬 데미지 상승"	30	6	0	0	0	0	0	0	0	0	0	0	0	0	10	200000	12	220000	14	240000	16	280000	18	320000	20	360000	22	400000	28	500000
6	"SD 감소율 상승"	20	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	280000	6	320000	8	360000	10	400000	13	500000
7	"공격 성공률 상승(PVP)"	20	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	280000	7	320000	9	360000	11	400000	14	500000
8	"공격시 SD 무시 확률 상승"	10	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	500000
end																															
3	//방어구류																														
1	"방어력 상승"	50	0	3	100000	4	110000	5	120000	6	130000	7	140000	8	150000	10	200000	12	220000	14	240000	16	280000	18	320000	20	360000	22	400000	25	500000
2	"최대 AG 상승"	40	3	0	0	0	0	0	0	4	130000	6	140000	8	150000	10	200000	12	220000	14	240000	16	280000	18	320000	20	360000	22	400000	25	500000
3	"최대 HP 상승"	40	3	0	0	0	0	0	0	7	130000	9	140000	11	150000	13	200000	15	220000	17	240000	19	280000	21	320000	23	360000	25	400000	30	500000
4	"생명력 자동 증가량 상승"	30	6	0	0	0	0	0	0	0	0	0	0	0	0	1	200000	2	220000	3	240000	4	280000	5	320000	6	360000	7	400000	8	500000
5	"마나 자동 증가량 상승"	20	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	280000	2	320000	3	360000	4	400000	5	500000
6	"방어 성공률 상승(PVP)"	20	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	280000	4	320000	5	360000	6	400000	8	500000
7	"데미지 감소량 상승"	20	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	280000	4	320000	5	360000	6	400000	7	500000
8	"SD 비율 상승"	10	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	500000
end																															
