//############################################
// POWERED BY MU ENGINE                     //
// WWW.MUENGINE.ORG                      	//
// Edited By: ScriptKid                    	//
//###########################################

//旨收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收旬
//早 Box Of Kundun +2 Drop Settings                                               早
//曲收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收旭					
1
//	EventName	                  DropZen	EventItemType	EventItemIndex	EventItemLevel	EventItemDropRate	ItemDropRate	ExItemDropRate											
	"Box Of Kundun +2"	0	0	                  0	0	0	                  100	                                                      500											
end
// | Type | Index | MinLevel | MaxLevel | Skill | Luck | Option | Excellent |	

10
//type	index	min-lvl	max-lvl		skill-rate	luck-rate	add	exc1-rate	exc2-rate	exc3-rate	arka-only
10000	
0	0	0	0	50	50	50	100	100	0	0	//Kris
0	1	0	0	50	50	50	100	100	0	0	//Short Sword
0	2	0	0	50	50	50	100	100	0	0	//Rapier
0	3	0	0	50	50	50	100	100	0	0	//Katana
0	4	0	0	50	50	50	100	100	0	0	//Sword of Assassin
0	5	0	0	50	50	50	100	100	0	0	//Blade
0	6	0	0	50	50	50	100	100	0	0	//Gladius
0	7	0	0	50	50	50	100	100	0	0	//Falchion
0	8	0	0	50	50	50	100	100	0	0	//Serpent Sword
0	9	0	0	50	50	50	100	100	0	0	//Salamander
0	10	0	0	50	50	50	100	100	0	0	//Light Saber
0	11	0	0	50	50	50	100	100	0	0	//Legendary Sword
0	12	0	0	50	50	50	100	100	0	0	//Helical Sword
0	13	0	0	50	50	50	100	100	0	0	//Double Blade
0	14	0	0	50	50	50	100	100	0	0	//Lightning Sword
0	15	0	0	50	50	50	100	100	0	0	//Giant Sword
1	0	0	0	50	50	50	100	100	0	0	//Small Axe
1	1	0	0	50	50	50	100	100	0	0	//Hand Axe
1	2	0	0	50	50	50	100	100	0	0	//Double Axe
1	3	0	0	50	50	50	100	100	0	0	//Tomahawk
1	4	0	0	50	50	50	100	100	0	0	//Elven Axe
1	5	0	0	50	50	50	100	100	0	0	//Battle Axe
1	6	0	0	50	50	50	100	100	0	0	//Nikkea Axe
1	7	0	0	50	50	50	100	100	0	0	//Larkan Axe
