//############################################
// POWERED BY MU ENGINE                     //
// WWW.MUENGINE.ORG                      	//
// Edited By: ScriptKid                    	//
//###########################################

//旨收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收旬
//早 Box Of Kundun +4 Drop Settings                                               早
//曲收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收旭					
1
//	EventName	                  DropZen	EventItemType	EventItemIndex	EventItemLevel	EventItemDropRate	ItemDropRate	ExItemDropRate											
	"Box Of Kundun +4"	0	0	                  0	0	0	                  100	                                                      500											
end
// | Type | Index | MinLevel | MaxLevel | Skill | Luck | Option | Excellent |	

10
//type	index	min-lvl	max-lvl		skill-rate	luck-rate	add	exc1-rate	exc2-rate	exc3-rate	arka-only
10000		

0	16	0	0	50	50	50	100	0	0	0	//Sword of Destruction
0	17	0	0	50	50	50	100	0	0	0	//Dark Breaker
0	18	0	0	50	50	50	100	0	0	0	//Thunder Blade
0	32	0	0	50	50	50	100	0	0	0	//Sacred Gloves
0	33	0	0	50	50	50	100	0	0	0	//Holy Storm Claws
2	4	0	0	50	50	50	100	0	0	0	//Crystal Morning Star
2	5	0	0	50	50	50	100	0	0	0	//Crystal Sword
2	7	0	0	50	50	50	100	0	0	0	//Elemental Mace
2	8	0	0	50	50	50	100	0	0	0	//Battle Scepter
2	9	0	0	50	50	50	100	0	0	0	//Master Scepter
2	10	0	0	50	50	50	100	0	0	0	//Great Scepter
2	11	0	0	50	50	50	100	0	0	0	//Lord Scepter
3	9	0	0	50	50	50	100	0	0	0	//Bill of Balrog
3	10	0	0	50	50	50	100	0	0	0	//Dragon Spear
4	16	0	0	50	50	50	100	0	0	0	//Saint Crossbow
4	17	0	0	50	50	50	100	0	0	0	//Celestial Bow
4	19	0	0	50	50	50	100	0	0	0	//Great Reign Crossbow
4	20	0	0	50	50	50	100	0	0	0	//Arrow Viper Bow
5	5	0	0	50	50	50	100	0	0	0	//Legendary Staff
5	6	0	0	50	50	50	100	0	0	0	//Staff of Resurection
5	8	0	0	50	50	50	100	0	0	0	//Staff of Destruction
5	9	0	0	50	50	50	100	0	0	0	//Dragon Soul Staff
5	14	0	0	50	50	50	100	0	0	0	//Mystery Stick
5	15	0	0	50	50	50	100	0	0	0	//Violent Wind Stick
5	16	0	0	50	50	50	100	0	0	0	//Red Wing Stick
5	17	0	0	50	50	50	100	0	0	0	//Ancient Stick
5	21	0	0	50	50	50	100	0	0	0	//Book of Shamut
5	22	0	0	50	50	50	100	0	0	0	//Book of Neil
5	23	0	0	50	50	50	100	0	0	0	//Book of Lagle
6	13	0	0	50	50	50	100	0	0	0	//Chaos Dragon Shield
6	14	0	0	50	50	50	100	0	0	0	//Legendary Shield
6	15	0	0	50	50	50	100	0	0	0	//Grand Soul Shield
7	1	0	0	50	50	50	100	0	0	0	//Dragon Helm
7	3	0	0	50	50	50	100	0	0	0	//Legendary Helm
7	14	0	0	50	50	50	100	0	0	0	//Guardian Helm
0	0	0	0	50	50	50	100	0	0	0	//Kris
7	16	0	0	50	50	50	100	0	0	0	//Black Dragon Helm
