0
//Idx	Index	Classes	Group ID	Points Per Level	Max Points	Unk	Parent Skill 1	Parent Skill 2	Skill ID	Value
0	1	1	0	1	20	4	0	0	300	12.04
1	4	1	0	1	20	0	0	0	301	614.08
2	6	1	0	1	20	3	0	0	302	511.73
3	7	1	0	1	20	3	0	0	303	1.81
4	8	1	0	1	20	3	0	0	304	1.2
5	9	1	0	1	20	4	300	0	305	12.04
6	10	1	0	1	20	0	302	0	306	1.2
7	11	1	0	1	20	3	303	0	307	1.2
8	12	1	0	1	20	3	304	0	308	1.2
9	14	1	0	1	20	3	0	0	309	60.2
10	15	1	0	1	20	0	307	0	310	1.2
11	16	1	0	1	20	0	308	0	311	1.2
12	17	1	0	1	20	0	305	0	312	12.04
13	18	1	0	1	20	0	309	0	313	1.2
14	23	1	0	1	20	1	0	0	315	6.32
15	24	1	0	1	20	0	315	0	316	1
16	25	1	0	1	20	0	0	0	317	12.04
17	26	1	0	1	20	0	0	0	318	12.04
18	27	1	0	1	20	0	0	0	319	12.04
19	28	1	0	1	20	0	0	0	320	12.04
20	30	1	0	1	20	3	0	0	322	12.04
21	34	1	0	1	20	0	322	0	324	12.04
22	37	1	1	1	20	0	0	0	325	511.73
23	41	1	1	1	20	0	0	0	326	6.32
24	42	1	1	1	20	0	0	0	327	8.83
25	43	1	1	1	20	0	0	0	328	8.83
26	44	1	1	1	20	0	0	0	329	8.83
27	45	1	1	1	20	3	0	0	330	8.83
28	46	1	1	1	20	3	0	0	331	5.02
29	49	1	1	1	20	0	330	0	332	1.2
30	50	1	1	1	20	0	331	0	333	1.2
31	51	1	1	1	20	3	0	0	334	102.35
32	52	1	1	1	20	0	0	0	335	5.02
33	53	1	1	1	20	3	0	0	336	5.02
34	54	1	1	1	20	3	0	0	337	5.02
35	55	1	1	1	20	3	334	0	338	102.35
36	57	1	1	1	20	3	336	0	339	1.81
37	58	1	1	1	20	3	337	0	340	1.81
38	59	1	1	1	20	0	338	0	341	27.69
39	61	1	1	1	20	0	339	0	342	1.81
40	62	1	1	1	20	0	340	0	343	1.2
41	65	1	1	1	20	0	0	0	345	1.81
42	66	1	1	10	10	3	0	0	344	-1
43	70	1	1	1	20	0	344	0	346	5.02
44	73	1	2	1	20	0	0	0	347	818.77
45	77	1	2	1	20	3	0	0	348	8.83
46	78	1	2	1	20	3	0	0	349	5.02
47	79	1	2	1	20	3	0	0	350	6.32
48	80	1	2	1	20	3	0	0	351	6.32
49	81	1	2	1	20	0	348	0	352	11.54
50	82	1	2	1	10	0	349	0	353	1
51	83	1	2	1	20	0	350	0	354	1.2
52	84	1	2	1	20	0	351	0	355	1.2
53	85	1	2	1	20	3	0	0	356	1.81
54	86	1	2	1	20	0	0	0	357	7.22
55	87	1	2	1	20	0	0	0	358	9.14
56	88	1	2	1	20	3	0	0	359	43.19
57	89	1	2	1	20	3	356	0	360	1.81
58	90	1	2	1	20	3	0	0	361	5.02
59	92	1	2	1	20	0	359	0	362	43.19
60	93	1	2	1	20	0	360	0	363	1.81
61	94	1	2	1	20	0	361	0	364	6.32
62	96	1	2	1	20	3	0	0	366	1
63	98	1	2	1	20	0	0	0	367	1
64	99	1	2	1	20	3	0	0	368	1
65	100	1	2	1	20	0	366	0	369	1
66	102	1	2	1	20	3	0	0	370	1
67	103	1	2	1	20	0	368	0	372	1
68	106	1	2	1	20	0	370	0	371	1
69	1	2	0	1	20	4	0	0	300	12.04
70	4	2	0	1	20	0	0	0	301	614.08
71	6	2	0	1	20	3	0	0	302	511.73
72	7	2	0	1	20	3	0	0	303	1.81
73	8	2	0	1	20	3	0	0	304	1.2
74	9	2	0	1	20	4	300	0	305	12.04
75	10	2	0	1	20	0	302	0	306	1.2
76	11	2	0	1	20	3	303	0	307	1.2
77	12	2	0	1	20	3	304	0	308	1.2
78	14	2	0	1	20	3	0	0	309	60.2
79	15	2	0	1	20	0	307	0	310	1.2
80	16	2	0	1	20	0	308	0	311	1.2
81	17	2	0	1	20	0	305	0	312	12.04
82	18	2	0	1	20	0	309	0	313	1.2
83	23	2	0	1	20	1	0	0	315	6.32
84	24	2	0	1	20	0	315	0	316	1
85	25	2	0	1	20	0	0	0	317	12.04
86	26	2	0	1	20	0	0	0	318	12.04
87	27	2	0	1	20	0	0	0	319	12.04
88	28	2	0	1	20	0	0	0	320	12.04
89	30	2	0	1	20	3	0	0	375	12.04
90	34	2	0	1	20	0	375	0	377	12.04
91	37	2	1	1	20	0	0	0	325	511.73
92	41	2	1	1	20	3	0	0	378	8.83
93	42	2	1	1	20	3	0	0	379	8.83
94	43	2	1	1	20	3	0	0	380	1.2
95	45	2	1	1	20	0	378	0	381	5.02
96	46	2	1	1	20	0	379	0	382	8.83
97	47	2	1	1	20	0	380	0	383	1.2
98	48	2	1	1	20	3	0	0	384	6.32
99	49	2	1	1	20	1	0	0	385	6.32
100	50	2	1	1	20	0	385	0	386	5.02
101	51	2	1	1	20	3	0	0	334	102.35
102	52	2	1	1	20	0	384	0	387	5.02
103	54	2	1	1	20	4	0	0	388	6.32
104	55	2	1	1	20	3	334	0	338	102.35
105	56	2	1	1	20	3	0	0	389	6.32
106	57	2	1	1	20	4	0	0	390	8.83
107	59	2	1	1	20	0	338	0	341	27.69
108	60	2	1	1	20	3	389	0	391	5.02
109	62	2	1	1	20	0	388	0	392	5.02
110	64	2	1	1	20	0	391	0	393	1.2
111	65	2	1	1	20	0	390	0	394	1.2
112	66	2	1	10	10	3	0	0	495	-1
113	70	2	1	1	20	0	495	0	497	5.02
114	73	2	2	1	20	0	0	0	347	818.77
115	77	2	2	1	20	3	0	0	397	5.02
116	78	2	2	1	20	3	0	0	398	8.83
117	79	2	2	1	20	3	0	0	399	8.03
118	81	2	2	1	10	0	397	0	400	1
119	82	2	2	1	20	0	398	0	401	11.54
120	83	2	2	1	20	0	399	0	402	12.04
121	85	2	2	1	20	3	0	0	403	1.81
122	86	2	2	1	20	0	0	0	357	7.22
123	87	2	2	1	20	0	0	0	358	9.14
124	88	2	2	1	20	3	0	0	359	43.19
125	89	2	2	1	20	3	403	0	404	8.03
126	90	2	2	1	20	3	0	0	405	5.02
127	92	2	2	1	20	0	359	0	362	43.19
128	93	2	2	1	20	0	404	0	406	1.81
129	94	2	2	1	20	0	405	0	407	6.32
130	96	2	2	1	20	3	0	0	366	1
131	98	2	2	1	20	0	0	0	367	1
132	99	2	2	1	20	3	0	0	368	1
133	100	2	2	1	20	0	366	0	369	1
134	102	2	2	1	20	3	0	0	370	1
135	103	2	2	1	20	0	368	0	372	1
136	106	2	2	1	20	0	370	0	371	1
137	1	4	0	1	20	4	0	0	300	12.04
138	4	4	0	1	20	0	0	0	301	614.08
139	6	4	0	1	20	3	0	0	302	511.73
140	7	4	0	1	20	3	0	0	303	1.81
141	8	4	0	1	20	3	0	0	304	1.2
142	9	4	0	1	20	4	300	0	305	12.04
143	10	4	0	1	20	0	302	0	306	1.2
144	11	4	0	1	20	3	303	0	307	1.2
145	12	4	0	1	20	3	304	0	308	1.2
146	14	4	0	1	20	3	0	0	309	60.2
147	15	4	0	1	20	0	307	0	310	1.2
148	16	4	0	1	20	0	308	0	311	1.2
149	17	4	0	1	20	0	305	0	312	12.04
150	18	4	0	1	20	0	309	0	313	1.2
151	23	4	0	1	20	1	0	0	315	6.32
152	24	4	0	1	20	0	315	0	316	1
153	25	4	0	1	20	0	0	0	317	12.04
154	26	4	0	1	20	0	0	0	318	12.04
155	27	4	0	1	20	0	0	0	319	12.04
156	28	4	0	1	20	0	0	0	320	12.04
157	30	4	0	1	20	3	0	0	410	12.04
158	34	4	0	1	20	0	410	0	412	12.04
159	37	4	1	1	20	0	0	0	325	511.73
160	41	4	1	1	20	0	0	0	413	5.02
161	43	4	1	1	20	3	0	0	414	6.32
162	44	4	1	1	20	3	0	0	415	60.2
163	45	4	1	1	20	0	0	0	416	6.32
164	46	4	1	1	20	4	0	0	417	5.02
165	47	4	1	10	10	0	414	0	418	-1
166	48	4	1	1	20	0	415	0	419	60.2
167	49	4	1	1	20	3	0	0	420	5.02
168	51	4	1	1	20	0	0	0	421	5.02
169	52	4	1	1	20	3	0	0	334	102.35
170	53	4	1	1	20	0	420	0	422	5.02
171	54	4	1	1	20	3	417	0	423	5.02
172	55	4	1	1	20	0	0	0	424	5.02
173	56	4	1	1	20	3	334	0	338	102.35
174	58	4	1	10	10	0	423	0	425	-1
175	59	4	1	1	20	3	0	0	411	5.02
176	60	4	1	1	20	0	338	0	341	27.69
177	61	4	1	10	10	3	0	0	426	-1
178	63	4	1	1	20	0	411	0	431	1.02
179	64	4	1	1	20	3	0	0	428	60.2
180	65	4	1	1	20	0	426	0	429	5.02
181	66	4	1	10	10	3	0	0	430	-1
182	67	4	1	10	10	3	0	0	427	-1
183	68	4	1	10	10	0	428	0	432	-1
184	70	4	1	1	20	0	430	0	433	8.03
185	71	4	1	1	20	0	427	0	434	5.02
186	73	4	2	1	20	0	0	0	347	818.77
187	77	4	2	1	20	3	0	0	435	6.32
188	78	4	2	1	20	3	0	0	436	6.32
189	79	4	2	1	20	3	0	0	437	8.03
190	81	4	2	1	10	0	435	0	438	1
191	82	4	2	1	20	0	436	0	439	11.54
192	83	4	2	1	20	0	437	0	440	18.06
193	86	4	2	1	20	0	0	0	357	7.22
194	87	4	2	1	20	0	0	0	358	9.14
195	88	4	2	1	20	3	0	0	359	43.19
196	89	4	2	1	20	0	0	0	441	1.2
197	90	4	2	1	20	3	0	0	442	5.02
198	92	4	2	1	20	0	359	0	362	43.19
199	94	4	2	1	20	0	442	0	443	6.32
200	96	4	2	1	20	3	0	0	366	1
201	98	4	2	1	20	0	0	0	367	1
202	99	4	2	1	20	3	0	0	368	1
203	100	4	2	1	20	0	366	0	369	1
204	102	4	2	1	20	3	0	0	370	1
205	103	4	2	1	20	0	368	0	372	1
206	106	4	2	1	20	0	370	0	371	1
207	1	8	0	1	20	4	0	0	300	12.04
208	4	8	0	1	20	0	0	0	301	614.08
209	6	8	0	1	20	3	0	0	302	511.73
210	7	8	0	1	20	3	0	0	303	1.81
211	8	8	0	1	20	3	0	0	304	1.2
212	9	8	0	1	20	4	300	0	305	12.04
213	10	8	0	1	20	0	302	0	306	1.2
214	11	8	0	1	20	3	303	0	307	1.2
215	12	8	0	1	20	3	304	0	308	1.2
216	14	8	0	1	20	3	0	0	309	60.2
217	15	8	0	1	20	0	307	0	310	1.2
218	16	8	0	1	20	0	308	0	311	1.2
219	17	8	0	1	20	0	305	0	312	12.04
220	18	8	0	1	20	0	309	0	313	1.2
221	23	8	0	1	20	1	0	0	315	6.32
222	24	8	0	1	20	0	315	0	316	1
223	25	8	0	1	20	0	0	0	317	12.04
224	26	8	0	1	20	0	0	0	318	12.04
225	27	8	0	1	20	0	0	0	319	12.04
226	28	8	0	1	20	0	0	0	320	12.04
227	30	8	0	1	20	3	0	0	446	12.04
228	34	8	0	1	20	0	446	0	447	12.04
229	37	8	1	1	20	0	0	0	325	511.73
230	41	8	1	1	20	3	0	0	448	6.32
231	42	8	1	1	20	3	0	0	449	6.32
232	43	8	1	1	20	3	0	0	450	6.32
233	45	8	1	1	20	0	448	0	451	1.81
234	46	8	1	1	20	0	449	0	452	1.2
235	47	8	1	1	20	0	450	0	453	1.81
236	48	8	1	1	20	0	0	0	454	1.2
237	49	8	1	1	20	0	0	0	455	5.02
238	50	8	1	1	20	0	0	0	456	5.02
239	52	8	1	1	20	3	0	0	334	102.35
240	53	8	1	1	20	0	0	0	457	5.02
241	55	8	1	1	20	4	0	0	458	5.02
242	56	8	1	1	20	3	334	0	338	102.35
243	58	8	1	1	20	4	0	0	460	6.32
244	60	8	1	1	20	0	338	0	341	27.69
245	61	8	1	1	20	7	0	0	459	6.32
246	63	8	1	1	20	0	458	0	462	12.04
247	66	8	1	10	10	3	459	460	461	-1
248	70	8	1	1	20	0	461	0	463	1.02
249	73	8	2	1	20	0	0	0	347	818.77
250	77	8	2	1	20	3	0	0	465	5.02
251	78	8	2	1	20	3	0	0	466	6.32
252	81	8	2	1	20	0	465	0	467	11.54
253	82	8	2	1	10	0	466	0	468	1
254	85	8	2	1	20	3	0	0	469	1.81
255	86	8	2	1	20	0	0	0	357	7.22
256	87	8	2	1	20	0	0	0	358	9.14
257	88	8	2	1	20	3	0	0	359	43.19
258	89	8	2	1	20	3	469	0	470	1.81
259	90	8	2	1	20	3	0	0	471	5.02
260	92	8	2	1	20	0	359	0	362	43.19
261	93	8	2	1	20	0	470	0	472	8.03
262	94	8	2	1	20	0	471	0	473	6.32
263	96	8	2	1	20	3	0	0	366	1
264	98	8	2	1	20	0	0	0	367	1
265	99	8	2	1	20	3	0	0	368	1
266	100	8	2	1	20	0	366	0	369	1
267	102	8	2	1	20	3	0	0	370	1
268	103	8	2	1	20	0	368	0	372	1
269	106	8	2	1	20	0	370	0	371	1
270	1	16	0	1	20	4	0	0	300	12.04
271	4	16	0	1	20	0	0	0	301	614.08
272	6	16	0	1	20	3	0	0	302	511.73
273	7	16	0	1	20	3	0	0	303	1.81
274	8	16	0	1	20	3	0	0	304	1.2
275	9	16	0	1	20	4	300	0	305	12.04
276	10	16	0	1	20	0	302	0	306	1.2
277	11	16	0	1	20	3	303	0	307	1.2
278	12	16	0	1	20	3	304	0	308	1.2
279	14	16	0	1	20	3	0	0	309	60.2
280	15	16	0	1	20	0	307	0	310	1.2
281	16	16	0	1	20	0	308	0	311	1.2
282	17	16	0	1	20	0	305	0	312	12.04
283	18	16	0	1	20	0	309	0	313	1.2
284	23	16	0	1	20	1	0	0	315	6.32
285	24	16	0	1	20	0	315	0	316	1
286	25	16	0	1	20	0	0	0	317	12.04
287	26	16	0	1	20	0	0	0	318	12.04
288	27	16	0	1	20	0	0	0	319	12.04
289	28	16	0	1	20	0	0	0	320	12.04
290	30	16	0	1	20	3	0	0	476	12.04
291	34	16	0	1	20	0	476	0	478	12.04
292	37	16	1	1	20	0	0	0	325	511.73
293	41	16	1	1	20	0	0	0	479	6.32
294	42	16	1	1	20	3	0	0	480	6.32
295	43	16	1	1	20	7	0	0	481	6.32
296	44	16	1	1	20	3	0	0	482	6.32
297	45	16	1	1	20	3	0	0	483	6.32
298	46	16	1	1	20	0	480	0	484	6.32
299	48	16	1	1	20	0	481	482	485	5.02
300	49	16	1	1	20	0	483	0	486	5.02
301	50	16	1	1	20	1	0	0	487	6.32
302	51	16	1	1	20	0	487	0	488	5.02
303	52	16	1	1	20	3	0	0	334	102.35
304	54	16	1	1	20	4	0	0	490	5.02
305	55	16	1	1	20	3	0	0	489	6.32
306	56	16	1	1	20	3	334	0	338	102.35
307	57	16	1	1	20	3	0	0	492	5.02
308	59	16	1	1	20	0	489	0	491	1.2
309	60	16	1	1	20	0	338	0	341	27.69
310	61	16	1	1	20	0	492	0	494	1.81
311	62	16	1	1	20	0	490	0	493	1.81
312	63	16	1	1	20	0	0	0	496	5.02
313	66	16	1	10	10	3	0	0	344	-1
314	67	16	1	10	10	3	0	0	495	-1
315	70	16	1	1	20	0	344	0	346	5.02
316	71	16	1	1	20	0	495	0	497	5.02
317	73	16	2	1	20	0	0	0	347	818.77
318	77	16	2	1	20	3	0	0	348	8.83
319	78	16	2	1	20	3	0	0	349	5.02
320	79	16	2	1	20	3	0	0	397	5.02
321	80	16	2	1	20	3	0	0	398	8.83
322	81	16	2	1	20	0	348	0	352	11.54
323	82	16	2	1	10	0	349	0	353	1
324	83	16	2	1	10	0	397	0	400	1
325	84	16	2	1	20	0	398	0	401	11.54
326	86	16	2	1	20	0	0	0	357	7.22
327	87	16	2	1	20	0	0	0	358	9.14
328	88	16	2	1	20	3	0	0	359	43.19
329	89	16	2	1	20	3	0	0	405	5.02
330	90	16	2	1	20	3	0	0	361	5.02
331	92	16	2	1	20	0	359	0	362	43.19
332	93	16	2	1	20	0	405	0	407	6.32
333	94	16	2	1	20	0	361	0	364	6.32
334	96	16	2	1	20	3	0	0	366	1
335	98	16	2	1	20	0	0	0	367	1
336	99	16	2	1	20	3	0	0	368	1
337	100	16	2	1	20	0	366	0	369	1
338	102	16	2	1	20	3	0	0	370	1
339	103	16	2	1	20	0	368	0	372	1
340	106	16	2	1	20	0	370	0	371	1
341	1	32	0	1	20	4	0	0	300	12.04
342	4	32	0	1	20	0	0	0	301	614.08
343	6	32	0	1	20	3	0	0	302	511.73
344	7	32	0	1	20	3	0	0	303	1.81
